,year,region,location,adm,total_1,total_2,total_3,total_4
28,2017,Norte,Urbana,Municipal,8.3,41.4,45.4,4.9
29,2017,Norte,Rural,Municipal,32.7,31.5,22.8,13.0
30,2017,Norte,Total,Privada,9.6,35.2,44.9,10.3
31,2017,Norte,Urbana,Privada,9.3,35.1,45.2,10.4
32,2017,Norte,Rural,Privada,20.0,37.5,35.0,7.5
33,2017,Norte,Total,Pública,23.900000000000002,35.4,30.6,10.1
34,2017,Norte,Urbana,Pública,7.2,41.800000000000004,46.4,4.6000000000000005
35,2017,Norte,Rural,Pública,31.7,32.3,23.2,12.8
36,2017,Rondônia,Total,Total,7.4,34.800000000000004,47.300000000000004,10.5
37,2017,Rondônia,Urbana,Total,4.3,35.0,56.2,4.5
38,2017,Rondônia,Rural,Total,12.200000000000001,34.4,33.5,19.900000000000002
39,2017,Rondônia,Total,Federal,0.0,42.9,57.1,0.0
40,2017,Rondônia,Urbana,Federal,0.0,40.0,60.0,0.0
41,2017,Rondônia,Rural,Federal,0.0,50.0,50.0,0.0
42,2017,Rondônia,Total,Estadual,3.8000000000000003,33.9,51.6,10.700000000000001
43,2017,Rondônia,Urbana,Estadual,0.4,32.2,63.7,3.7
44,2017,Rondônia,Rural,Estadual,10.9,37.5,26.6,25.0
45,2017,Rondônia,Total,Municipal,7.7,34.7,45.5,12.1
46,2017,Rondônia,Urbana,Municipal,3.3000000000000003,36.7,54.2,5.8
47,2017,Rondônia,Rural,Municipal,11.9,32.7,36.9,18.5
48,2017,Rondônia,Total,Privada,17.2,37.300000000000004,42.5,3.0
49,2017,Rondônia,Urbana,Privada,15.1,36.5,45.2,3.2
50,2017,Rondônia,Rural,Privada,50.0,50.0,0.0,0.0
51,2017,Rondônia,Total,Pública,6.2,34.5,47.800000000000004,11.5
52,2017,Rondônia,Urbana,Pública,2.0,34.7,58.5,4.8
53,2017,Rondônia,Rural,Pública,11.6,34.1,34.1,20.2
54,2017,Acre,Total,Total,38.5,39.6,14.8,7.1000000000000005
55,2017,Acre,Urbana,Total,17.3,58.9,22.6,1.2
56,2017,Acre,Rural,Total,46.4,32.5,11.9,9.200000000000001
57,2017,Acre,Total,Federal,0.0,40.0,60.0,0.0
58,2017,Acre,Urbana,Federal,0.0,40.0,60.0,0.0
59,2017,Acre,Total,Estadual,25.900000000000002,48.300000000000004,17.400000000000002,8.4
60,2017,Acre,Urbana,Estadual,10.200000000000001,68.7,21.1,0.0
61,2017,Acre,Rural,Estadual,32.5,39.800000000000004,15.9,11.8
62,2017,Acre,Total,Municipal,47.5,34.4,12.0,6.1000000000000005
63,2017,Acre,Urbana,Municipal,24.1,55.2,19.7,1.0
64,2017,Acre,Rural,Municipal,54.5,28.3,9.700000000000001,7.5
65,2017,Acre,Total,Privada,12.0,28.0,48.0,12.0
66,2017,Acre,Urbana,Privada,12.0,28.0,48.0,12.0
67,2017,Acre,Total,Pública,39.0,39.800000000000004,14.200000000000001,7.0
68,2017,Acre,Urbana,Pública,17.6,61.0,20.900000000000002,0.5
69,2017,Acre,Rural,Pública,46.4,32.5,11.9,9.200000000000001
70,2017,Amazonas,Total,Total,31.3,36.300000000000004,24.900000000000002,7.5
71,2017,Amazonas,Urbana,Total,10.4,46.5,40.2,2.9
72,2017,Amazonas,Rural,Total,40.6,31.8,18.1,9.5
73,2017,Amazonas,Total,Federal,0.0,27.3,72.7,0.0
74,2017,Amazonas,Urbana,Federal,0.0,27.3,72.7,0.0
75,2017,Amazonas,Total,Estadual,10.9,53.4,34.9,0.8
76,2017,Amazonas,Urbana,Estadual,12.5,55.0,32.1,0.4
77,2017,Amazonas,Rural,Estadual,4.0,46.4,47.2,2.4
78,2017,Amazonas,Total,Municipal,36.0,32.9,22.5,8.6
79,2017,Amazonas,Urbana,Municipal,9.3,40.2,46.7,3.8000000000000003
80,2017,Amazonas,Rural,Municipal,42.0,31.2,17.0,9.8
81,2017,Amazonas,Total,Privada,9.4,46.9,37.1,6.6000000000000005
82,2017,Amazonas,Urbana,Privada,9.5,47.4,37.0,6.1000000000000005
83,2017,Amazonas,Rural,Privada,0.0,0.0,50.0,50.0
84,2017,Amazonas,Total,Pública,32.3,35.800000000000004,24.400000000000002,7.5
85,2017,Amazonas,Urbana,Pública,10.6,46.300000000000004,40.800000000000004,2.3000000000000003
86,2017,Amazonas,Rural,Pública,40.6,31.8,18.1,9.5
87,2017,Roraima,Total,Total,24.6,47.5,22.0,5.9
88,2017,Roraima,Urbana,Total,15.9,62.9,20.7,0.5
89,2017,Roraima,Rural,Total,28.6,40.300000000000004,22.6,8.5
90,2017,Roraima,Total,Federal,0.0,60.0,40.0,0.0
91,2017,Roraima,Urbana,Federal,0.0,33.3,66.7,0.0
92,2017,Roraima,Rural,Federal,0.0,100.0,0.0,0.0
93,2017,Roraima,Total,Estadual,19.3,48.800000000000004,24.2,7.7
94,2017,Roraima,Urbana,Estadual,8.5,79.3,12.200000000000001,0.0
95,2017,Roraima,Rural,Estadual,22.400000000000002,39.9,27.8,9.9
96,2017,Roraima,Total,Municipal,31.2,44.800000000000004,19.7,4.3
97,2017,Roraima,Urbana,Municipal,20.3,53.4,26.3,0.0
98,2017,Roraima,Rural,Municipal,37.300000000000004,40.1,16.0,6.6000000000000005
99,2017,Roraima,Total,Privada,20.0,60.0,16.7,3.3000000000000003
100,2017,Roraima,Urbana,Privada,20.7,58.6,17.2,3.5
101,2017,Roraima,Rural,Privada,0.0,100.0,0.0,0.0
102,2017,Roraima,Total,Pública,24.8,47.0,22.2,6.0
103,2017,Roraima,Urbana,Pública,15.3,63.5,21.2,0.0
104,2017,Roraima,Rural,Pública,28.7,40.2,22.6,8.5
105,2017,Pará,Total,Total,20.7,33.1,33.8,12.4
106,2017,Pará,Urbana,Total,5.9,35.2,50.7,8.2
107,2017,Pará,Rural,Total,27.6,32.1,25.900000000000002,14.4
108,2017,Pará,Total,Federal,12.5,25.0,62.5,0.0
109,2017,Pará,Urbana,Federal,13.3,26.7,60.0,0.0
110,2017,Pará,Rural,Federal,0.0,0.0,100.0,0.0
111,2017,Pará,Total,Estadual,4.0,31.6,55.800000000000004,8.6
112,2017,Pará,Urbana,Estadual,3.0,29.1,58.9,9.0
113,2017,Pará,Rural,Estadual,10.6,46.9,36.300000000000004,6.2
114,2017,Pará,Total,Municipal,23.3,33.7,30.3,12.700000000000001
115,2017,Pará,Urbana,Municipal,6.5,40.5,47.1,5.9
116,2017,Pará,Rural,Municipal,27.900000000000002,31.8,25.6,14.700000000000001
117,2017,Pará,Total,Privada,7.2,26.7,51.800000000000004,14.3
118,2017,Pará,Urbana,Privada,7.1000000000000005,26.7,51.7,14.5
119,2017,Pará,Rural,Privada,9.1,27.3,54.5,9.1
120,2017,Pará,Total,Pública,21.6,33.5,32.5,12.4
121,2017,Pará,Urbana,Pública,5.6000000000000005,37.300000000000004,50.4,6.7
122,2017,Pará,Rural,Pública,27.6,32.1,25.8,14.5
123,2017,Amapá,Total,Total,23.900000000000002,31.900000000000002,35.800000000000004,8.4
124,2017,Amapá,Urbana,Total,6.6000000000000005,34.4,54.2,4.8
125,2017,Amapá,Rural,Total,36.7,30.1,22.1,11.1
126,2017,Amapá,Total,Federal,0.0,50.0,50.0,0.0
127,2017,Amapá,Urbana,Federal,0.0,50.0,50.0,0.0
128,2017,Amapá,Total,Estadual,24.5,31.3,37.7,6.5
129,2017,Amapá,Urbana,Estadual,2.1,29.400000000000002,66.4,2.1
130,2017,Amapá,Rural,Estadual,37.7,32.4,20.900000000000002,9.0
131,2017,Amapá,Total,Municipal,23.8,31.5,33.8,10.9
132,2017,Amapá,Urbana,Municipal,7.5,38.4,47.300000000000004,6.8
133,2017,Amapá,Rural,Municipal,35.5,26.6,24.1,13.8
134,2017,Amapá,Total,Privada,20.8,39.6,33.3,6.3
135,2017,Amapá,Urbana,Privada,18.6,37.2,37.2,7.0
136,2017,Amapá,Rural,Privada,40.0,60.0,0.0,0.0
137,2017,Amapá,Total,Pública,24.1,31.400000000000002,35.9,8.6
138,2017,Amapá,Urbana,Pública,4.8,34.0,56.7,4.5
139,2017,Amapá,Rural,Pública,36.7,29.8,22.400000000000002,11.1
140,2017,Tocantins,Total,Total,8.3,40.0,43.4,8.3
141,2017,Tocantins,Urbana,Total,5.7,43.800000000000004,46.5,4.0
142,2017,Tocantins,Rural,Total,13.3,32.4,37.300000000000004,17.0
143,2017,Tocantins,Total,Federal,0.0,28.6,71.4,0.0
144,2017,Tocantins,Urbana,Federal,0.0,20.0,80.0,0.0
145,2017,Tocantins,Rural,Federal,0.0,50.0,50.0,0.0
146,2017,Tocantins,Total,Estadual,4.2,43.6,47.800000000000004,4.4
147,2017,Tocantins,Urbana,Estadual,2.7,44.7,51.300000000000004,1.3
148,2017,Tocantins,Rural,Estadual,8.9,40.300000000000004,37.1,13.700000000000001
149,2017,Tocantins,Total,Municipal,10.700000000000001,36.6,41.7,11.0
150,2017,Tocantins,Urbana,Municipal,7.4,42.1,45.4,5.1000000000000005
151,2017,Tocantins,Rural,Municipal,14.9,29.7,37.2,18.2
152,2017,Tocantins,Total,Privada,7.9,48.0,36.800000000000004,7.3
153,2017,Tocantins,Urbana,Privada,8.0,48.0,36.7,7.3
154,2017,Tocantins,Rural,Privada,0.0,50.0,50.0,0.0
155,2017,Tocantins,Total,Pública,8.3,39.1,44.1,8.5
156,2017,Tocantins,Urbana,Pública,5.3,43.1,48.2,3.4
157,2017,Tocantins,Rural,Pública,13.4,32.4,37.2,17.0
158,2017,Nordeste,Total,Total,13.700000000000001,33.7,39.2,13.4
159,2017,Nordeste,Urbana,Total,6.8,34.300000000000004,48.2,10.700000000000001
160,2017,Nordeste,Rural,Total,20.1,33.1,30.8,16.0
161,2017,Nordeste,Total,Federal,0.6,27.3,64.9,7.2
162,2017,Nordeste,Urbana,Federal,0.8,26.900000000000002,64.6,7.7
163,2017,Nordeste,Rural,Federal,0.0,29.2,66.7,4.1
164,2017,Nordeste,Total,Estadual,3.5,32.7,53.7,10.1
165,2017,Nordeste,Urbana,Estadual,2.3000000000000003,31.5,56.9,9.3
166,2017,Nordeste,Rural,Estadual,8.8,38.0,39.6,13.6
167,2017,Nordeste,Total,Municipal,16.5,34.7,35.5,13.3
168,2017,Nordeste,Urbana,Municipal,8.6,38.2,45.2,8.0
169,2017,Nordeste,Rural,Municipal,20.7,32.9,30.400000000000002,16.0
170,2017,Nordeste,Total,Privada,6.3,28.6,47.9,17.2
171,2017,Nordeste,Urbana,Privada,6.0,28.3,48.4,17.3
172,2017,Nordeste,Rural,Privada,14.0,39.300000000000004,31.900000000000002,14.8
173,2017,Nordeste,Total,Pública,14.8,34.5,37.800000000000004,12.9
174,2017,Nordeste,Urbana,Pública,7.0,36.5,48.2,8.3
175,2017,Nordeste,Rural,Pública,20.2,33.1,30.8,15.9
176,2017,Maranhão,Total,Total,20.5,38.0,31.400000000000002,10.1
177,2017,Maranhão,Urbana,Total,8.9,40.800000000000004,43.7,6.6000000000000005
178,2017,Maranhão,Rural,Total,25.900000000000002,36.7,25.7,11.700000000000001
179,2017,Maranhão,Total,Federal,0.0,30.0,65.0,5.0
180,2017,Maranhão,Urbana,Federal,0.0,35.7,64.3,0.0
181,2017,Maranhão,Rural,Federal,0.0,16.7,66.7,16.6
182,2017,Maranhão,Total,Estadual,6.5,32.5,49.5,11.5
183,2017,Maranhão,Urbana,Estadual,1.2,22.8,70.4,5.6000000000000005
184,2017,Maranhão,Rural,Estadual,11.8,42.1,29.0,17.1
185,2017,Maranhão,Total,Municipal,23.1,38.800000000000004,28.3,9.8
186,2017,Maranhão,Urbana,Municipal,11.0,46.5,37.300000000000004,5.2
187,2017,Maranhão,Rural,Municipal,27.2,36.2,25.3,11.3
188,2017,Maranhão,Total,Privada,7.8,36.1,44.800000000000004,11.3
189,2017,Maranhão,Urbana,Privada,7.4,34.5,46.0,12.1
190,2017,Maranhão,Rural,Privada,10.8,47.300000000000004,35.5,6.4
191,2017,Maranhão,Total,Pública,21.400000000000002,38.2,30.400000000000002,10.0
192,2017,Maranhão,Urbana,Pública,9.200000000000001,42.300000000000004,43.2,5.3
193,2017,Maranhão,Rural,Pública,26.1,36.6,25.6,11.700000000000001
194,2017,Piauí,Total,Total,13.700000000000001,39.5,36.2,10.6
195,2017,Piauí,Urbana,Total,8.5,46.1,39.6,5.8
196,2017,Piauí,Rural,Total,18.3,33.7,33.0,15.0
197,2017,Piauí,Total,Federal,7.1000000000000005,50.0,35.7,7.2
198,2017,Piauí,Urbana,Federal,7.7,46.2,38.5,7.6000000000000005
199,2017,Piauí,Rural,Federal,0.0,100.0,0.0,0.0
200,2017,Piauí,Total,Estadual,9.6,59.1,31.2,0.1
201,2017,Piauí,Urbana,Estadual,7.9,59.800000000000004,32.1,0.2
202,2017,Piauí,Rural,Estadual,24.6,52.5,22.900000000000002,0.0
203,2017,Piauí,Total,Municipal,15.4,37.5,35.5,11.6
204,2017,Piauí,Urbana,Municipal,10.200000000000001,45.7,39.6,4.5
205,2017,Piauí,Rural,Municipal,18.2,33.1,33.3,15.4
206,2017,Piauí,Total,Privada,3.0,25.0,52.1,19.900000000000002
207,2017,Piauí,Urbana,Privada,3.0,24.8,52.2,20.0
208,2017,Piauí,Rural,Privada,0.0,100.0,0.0,0.0
209,2017,Piauí,Total,Pública,14.5,40.6,34.9,10.0
210,2017,Piauí,Urbana,Pública,9.5,50.0,37.300000000000004,3.2
211,2017,Piauí,Rural,Pública,18.3,33.6,33.1,15.0
212,2017,Ceará,Total,Total,9.1,42.4,41.1,7.4
213,2017,Ceará,Urbana,Total,6.6000000000000005,41.6,44.7,7.1000000000000005
214,2017,Ceará,Rural,Total,12.9,43.6,35.6,7.9
215,2017,Ceará,Total,Federal,0.0,39.1,56.5,4.4
216,2017,Ceará,Urbana,Federal,0.0,38.1,57.1,4.8
217,2017,Ceará,Rural,Federal,0.0,50.0,50.0,0.0
218,2017,Ceará,Total,Estadual,1.8,49.6,47.2,1.4000000000000001
219,2017,Ceará,Urbana,Estadual,1.8,49.9,47.800000000000004,0.5
220,2017,Ceará,Rural,Estadual,1.5,47.0,42.4,9.1
221,2017,Ceará,Total,Municipal,11.1,45.0,37.6,6.3
222,2017,Ceará,Urbana,Municipal,8.6,46.7,40.2,4.5
223,2017,Ceará,Rural,Municipal,13.3,43.6,35.300000000000004,7.8
224,2017,Ceará,Total,Privada,5.3,28.900000000000002,51.2,14.6
225,2017,Ceará,Urbana,Privada,5.4,28.900000000000002,51.2,14.5
226,2017,Ceará,Rural,Privada,0.0,25.0,50.0,25.0
227,2017,Ceará,Total,Pública,10.0,45.5,38.800000000000004,5.7
228,2017,Ceará,Urbana,Pública,7.2,47.2,41.800000000000004,3.8000000000000003
229,2017,Ceará,Rural,Pública,13.0,43.7,35.5,7.8
230,2017,Rio Grande do Norte,Total,Total,8.9,32.4,47.1,11.6
231,2017,Rio Grande do Norte,Urbana,Total,4.3,32.9,55.2,7.6000000000000005
232,2017,Rio Grande do Norte,Rural,Total,15.700000000000001,31.7,35.1,17.5
233,2017,Rio Grande do Norte,Total,Federal,0.0,47.4,52.6,0.0
234,2017,Rio Grande do Norte,Urbana,Federal,0.0,41.2,58.800000000000004,0.0
235,2017,Rio Grande do Norte,Rural,Federal,0.0,100.0,0.0,0.0
236,2017,Rio Grande do Norte,Total,Estadual,3.6,37.7,54.1,4.6000000000000005
237,2017,Rio Grande do Norte,Urbana,Estadual,3.0,37.1,56.9,3.0
238,2017,Rio Grande do Norte,Rural,Estadual,8.1,43.5,30.6,17.8
239,2017,Rio Grande do Norte,Total,Municipal,10.8,30.5,44.800000000000004,13.9
240,2017,Rio Grande do Norte,Urbana,Municipal,3.6,29.8,57.6,9.0
241,2017,Rio Grande do Norte,Rural,Municipal,16.1,31.0,35.300000000000004,17.6
242,2017,Rio Grande do Norte,Total,Privada,7.4,34.1,48.800000000000004,9.700000000000001
243,2017,Rio Grande do Norte,Urbana,Privada,7.2,34.2,48.7,9.9
244,2017,Rio Grande do Norte,Rural,Privada,25.0,25.0,50.0,0.0
245,2017,Rio Grande do Norte,Total,Pública,9.200000000000001,32.1,46.800000000000004,11.9
246,2017,Rio Grande do Norte,Urbana,Pública,3.4,32.5,57.4,6.7
247,2017,Rio Grande do Norte,Rural,Pública,15.700000000000001,31.7,35.0,17.6
248,2017,Paraíba,Total,Total,10.1,29.7,44.7,15.5
249,2017,Paraíba,Urbana,Total,5.4,31.1,51.9,11.6
250,2017,Paraíba,Rural,Total,15.6,28.0,36.1,20.3
251,2017,Paraíba,Total,Federal,0.0,20.0,66.7,13.3
252,2017,Paraíba,Urbana,Federal,0.0,21.400000000000002,64.3,14.3
253,2017,Paraíba,Rural,Federal,0.0,0.0,100.0,0.0
254,2017,Paraíba,Total,Estadual,0.5,16.3,72.2,11.0
255,2017,Paraíba,Urbana,Estadual,0.3,16.6,72.10000000000001,11.0
256,2017,Paraíba,Rural,Estadual,1.4000000000000001,14.1,73.2,11.3
257,2017,Paraíba,Total,Municipal,12.9,31.900000000000002,39.9,15.3
258,2017,Paraíba,Urbana,Municipal,7.7,37.6,48.1,6.6000000000000005
259,2017,Paraíba,Rural,Municipal,16.1,28.400000000000002,34.800000000000004,20.7
260,2017,Paraíba,Total,Privada,5.6000000000000005,31.2,42.5,20.7
261,2017,Paraíba,Urbana,Privada,5.6000000000000005,31.0,42.6,20.8
262,2017,Paraíba,Rural,Privada,0.0,75.0,25.0,0.0
263,2017,Paraíba,Total,Pública,10.9,29.400000000000002,45.1,14.6
264,2017,Paraíba,Urbana,Pública,5.4,31.1,55.5,8.0
265,2017,Paraíba,Rural,Pública,15.6,27.900000000000002,36.1,20.400000000000002
266,2017,Pernambuco,Total,Total,13.5,32.4,41.1,13.0
267,2017,Pernambuco,Urbana,Total,6.6000000000000005,32.4,49.800000000000004,11.200000000000001
268,2017,Pernambuco,Rural,Total,22.2,32.4,30.3,15.1
269,2017,Pernambuco,Total,Federal,0.0,5.9,82.4,11.700000000000001
270,2017,Pernambuco,Urbana,Federal,0.0,8.3,75.0,16.7
271,2017,Pernambuco,Rural,Federal,0.0,0.0,100.0,0.0
272,2017,Pernambuco,Total,Estadual,1.9000000000000001,29.2,62.9,6.0
273,2017,Pernambuco,Urbana,Estadual,1.1,30.400000000000002,63.7,4.8
274,2017,Pernambuco,Rural,Estadual,4.8,24.5,59.6,11.1
275,2017,Pernambuco,Total,Municipal,18.3,35.800000000000004,34.300000000000004,11.6
276,2017,Pernambuco,Urbana,Municipal,9.4,41.1,44.800000000000004,4.7
277,2017,Pernambuco,Rural,Municipal,23.3,32.9,28.5,15.3
278,2017,Pernambuco,Total,Privada,6.6000000000000005,25.0,48.0,20.400000000000002
279,2017,Pernambuco,Urbana,Privada,6.1000000000000005,24.7,48.7,20.5
280,2017,Pernambuco,Rural,Privada,25.5,35.300000000000004,23.5,15.700000000000001
281,2017,Pernambuco,Total,Pública,15.6,34.7,39.0,10.700000000000001
282,2017,Pernambuco,Urbana,Pública,6.9,37.800000000000004,50.5,4.8
283,2017,Pernambuco,Rural,Pública,22.2,32.4,30.400000000000002,15.0
284,2017,Alagoas,Total,Total,16.7,41.300000000000004,34.1,7.9
285,2017,Alagoas,Urbana,Total,10.1,43.4,40.5,6.0
286,2017,Alagoas,Rural,Total,23.5,39.1,27.6,9.8
287,2017,Alagoas,Total,Federal,0.0,25.0,66.7,8.3
288,2017,Alagoas,Urbana,Federal,0.0,25.0,66.7,8.3
289,2017,Alagoas,Total,Estadual,8.6,70.5,20.900000000000002,0.0
290,2017,Alagoas,Urbana,Estadual,8.6,71.3,20.1,0.0
291,2017,Alagoas,Rural,Estadual,8.8,64.7,26.5,0.0
292,2017,Alagoas,Total,Municipal,19.3,38.9,33.8,8.0
293,2017,Alagoas,Urbana,Municipal,11.4,39.4,43.9,5.3
294,2017,Alagoas,Rural,Municipal,24.1,38.6,27.8,9.5
295,2017,Alagoas,Total,Privada,8.9,31.7,46.0,13.4
296,2017,Alagoas,Urbana,Privada,8.700000000000001,31.8,47.300000000000004,12.200000000000001
297,2017,Alagoas,Rural,Privada,11.8,29.400000000000002,17.6,41.2
298,2017,Alagoas,Total,Pública,17.900000000000002,42.800000000000004,32.3,7.0
299,2017,Alagoas,Urbana,Pública,10.5,47.300000000000004,38.2,4.0
300,2017,Alagoas,Rural,Pública,23.7,39.2,27.7,9.4
301,2017,Sergipe,Total,Total,7.3,26.900000000000002,52.2,13.6
302,2017,Sergipe,Urbana,Total,4.2,26.2,58.9,10.700000000000001
303,2017,Sergipe,Rural,Total,10.9,27.7,44.800000000000004,16.6
304,2017,Sergipe,Total,Federal,0.0,14.3,71.4,14.3
305,2017,Sergipe,Urbana,Federal,0.0,0.0,75.0,25.0
306,2017,Sergipe,Rural,Federal,0.0,33.3,66.7,0.0
307,2017,Sergipe,Total,Estadual,2.9,27.3,65.4,4.4
308,2017,Sergipe,Urbana,Estadual,1.0,24.5,69.8,4.7
309,2017,Sergipe,Rural,Estadual,15.200000000000001,45.7,37.0,2.1
310,2017,Sergipe,Total,Municipal,9.0,26.8,49.1,15.1
311,2017,Sergipe,Urbana,Municipal,5.8,27.1,56.4,10.700000000000001
312,2017,Sergipe,Rural,Municipal,10.6,26.6,45.4,17.400000000000002
313,2017,Sergipe,Total,Privada,5.3,27.400000000000002,51.0,16.3
314,2017,Sergipe,Urbana,Privada,4.9,26.8,52.1,16.2
315,2017,Sergipe,Rural,Privada,18.2,45.5,18.2,18.1
316,2017,Sergipe,Total,Pública,7.7,26.8,52.5,13.0
317,2017,Sergipe,Urbana,Pública,3.9,25.900000000000002,61.800000000000004,8.4
318,2017,Sergipe,Rural,Pública,10.8,27.5,45.1,16.6
319,2017,Bahia,Total,Total,13.3,26.7,39.7,20.3
320,2017,Bahia,Urbana,Total,6.2,25.3,50.9,17.6
321,2017,Bahia,Rural,Total,19.2,27.8,30.3,22.7
322,2017,Bahia,Total,Federal,0.0,11.1,81.5,7.4
323,2017,Bahia,Urbana,Federal,0.0,8.700000000000001,82.60000000000001,8.700000000000001
324,2017,Bahia,Rural,Federal,0.0,25.0,75.0,0.0
325,2017,Bahia,Total,Estadual,0.6,11.4,59.4,28.6
326,2017,Bahia,Urbana,Estadual,0.5,9.200000000000001,60.6,29.7
327,2017,Bahia,Rural,Estadual,0.9,31.900000000000002,48.300000000000004,18.900000000000002
328,2017,Bahia,Total,Municipal,15.5,28.1,36.7,19.7
329,2017,Bahia,Urbana,Municipal,7.7,28.7,49.6,14.0
330,2017,Bahia,Rural,Municipal,19.6,27.7,30.0,22.7
331,2017,Bahia,Total,Privada,6.2,26.8,47.6,19.400000000000002
332,2017,Bahia,Urbana,Privada,6.0,26.6,48.0,19.400000000000002
333,2017,Bahia,Rural,Privada,11.700000000000001,33.3,35.0,20.0
334,2017,Bahia,Total,Pública,14.200000000000001,26.6,38.7,20.5
335,2017,Bahia,Urbana,Pública,6.3,24.900000000000002,51.800000000000004,17.0
336,2017,Bahia,Rural,Pública,19.3,27.8,30.3,22.6
337,2017,Sudeste,Total,Total,10.8,39.7,42.0,7.5
338,2017,Sudeste,Urbana,Total,8.700000000000001,39.7,44.2,7.4
339,2017,Sudeste,Rural,Total,25.2,39.2,26.900000000000002,8.700000000000001
340,2017,Sudeste,Total,Federal,2.6,31.8,57.800000000000004,7.8
341,2017,Sudeste,Urbana,Federal,2.9,29.7,58.7,8.700000000000001
342,2017,Sudeste,Rural,Federal,0.0,50.0,50.0,0.0
343,2017,Sudeste,Total,Estadual,7.0,58.1,33.4,1.5
344,2017,Sudeste,Urbana,Estadual,6.2,58.4,33.9,1.5
345,2017,Sudeste,Rural,Estadual,16.7,54.4,27.0,1.9000000000000001
346,2017,Sudeste,Total,Municipal,13.200000000000001,38.300000000000004,42.0,6.5
347,2017,Sudeste,Urbana,Municipal,9.4,38.6,46.5,5.5
348,2017,Sudeste,Rural,Municipal,26.7,37.4,26.3,9.6
349,2017,Sudeste,Total,Privada,9.5,29.5,47.7,13.3
350,2017,Sudeste,Urbana,Privada,9.4,29.5,47.6,13.5
351,2017,Sudeste,Rural,Privada,14.3,24.8,52.6,8.3
352,2017,Sudeste,Total,Pública,11.4,43.9,39.6,5.1000000000000005
353,2017,Sudeste,Urbana,Pública,8.3,44.9,42.5,4.3
354,2017,Sudeste,Rural,Pública,25.400000000000002,39.5,26.400000000000002,8.700000000000001
355,2017,Minas Gerais,Total,Total,13.8,45.1,34.4,6.7
356,2017,Minas Gerais,Urbana,Total,10.6,46.4,37.0,6.0
357,2017,Minas Gerais,Rural,Total,24.2,40.7,26.2,8.9
358,2017,Minas Gerais,Total,Federal,3.6,45.5,45.5,5.4
359,2017,Minas Gerais,Urbana,Federal,4.5,40.9,47.7,6.9
360,2017,Minas Gerais,Rural,Federal,0.0,63.6,36.4,0.0
361,2017,Minas Gerais,Total,Estadual,10.3,69.8,19.8,0.1
362,2017,Minas Gerais,Urbana,Estadual,9.6,69.8,20.5,0.1
363,2017,Minas Gerais,Rural,Estadual,17.1,70.4,12.1,0.4
364,2017,Minas Gerais,Total,Municipal,16.6,39.1,37.6,6.7
365,2017,Minas Gerais,Urbana,Municipal,11.0,40.1,44.1,4.8
366,2017,Minas Gerais,Rural,Municipal,25.0,37.6,27.6,9.8
367,2017,Minas Gerais,Total,Privada,11.1,32.5,42.7,13.700000000000001
368,2017,Minas Gerais,Urbana,Privada,10.9,32.4,42.9,13.8
369,2017,Minas Gerais,Rural,Privada,21.6,43.2,27.0,8.2
370,2017,Minas Gerais,Total,Pública,14.6,48.6,32.1,4.7
371,2017,Minas Gerais,Urbana,Pública,10.4,52.0,34.7,2.9
