,year,region,location,adm,prim_1,prim_2,prim_3,prim_4,prim_5,prim_6,sec_1,sec_2,sec_3,sec_4,sec_5,sec_6
27,2017,Norte,Total,Municipal,29.6,17.2,25.6,20.5,4.1,3,1.4000000000000001,17.8,26,35.6,9.6,9.6
28,2017,Norte,Urbana,Municipal,20,18.400000000000002,28.2,22.900000000000002,5.6000000000000005,4.9,0,21.900000000000002,23.6,32.7,10.9,10.9
29,2017,Norte,Rural,Municipal,38.800000000000004,15.6,22.7,18.7,2.9,1.3,5.5,5.6000000000000005,33.3,44.4,5.6000000000000005,5.6000000000000005
30,2017,Norte,Total,Privada,20.1,15.5,31.5,23.8,5.2,3.9,1.1,8.9,28.5,38.7,12.9,9.9
31,2017,Norte,Urbana,Privada,20.3,15.4,31.400000000000002,23.8,5.2,3.9,0.8,8,28.2,39.2,13.4,10.4
32,2017,Norte,Rural,Privada,12.8,17.8,35.7,27.1,3.9,2.7,4.5,23.8,34.6,29.7,4.1,3.3000000000000003
33,2017,Norte,Total,Pública,24.8,16.2,25.7,24.400000000000002,5.6000000000000005,3.3000000000000003,1.9000000000000001,7,22.3,42.4,15.700000000000001,10.700000000000001
34,2017,Norte,Urbana,Pública,14.8,16.5,28,28.2,7.4,5.1000000000000005,1,6.4,22,42.5,16.4,11.700000000000001
35,2017,Norte,Rural,Pública,38.4,15,21.8,19.8,3.4,1.6,6.8,10.1,21.7,40.2,13.3,7.9
36,2017,Rondônia,Total,Total,26.5,16.1,22.900000000000002,24.7,6.8,3,2,7.3,20.8,44.800000000000004,17.3,7.8
37,2017,Rondônia,Urbana,Total,24,16.5,22.400000000000002,25.7,7.8,3.6,2,5.2,20.3,46,18.2,8.3
38,2017,Rondônia,Rural,Total,31.1,13.3,23,24.7,5.2,2.7,0.7000000000000001,20.1,25.900000000000002,36.2,12.9,4.2
39,2017,Rondônia,Total,Federal,--,--,--,--,--,--,1.3,27.400000000000002,56.9,14.1,0,0.3
40,2017,Rondônia,Urbana,Federal,--,--,--,--,--,--,1.5,17.6,62.9,17.6,0,0.4
41,2017,Rondônia,Rural,Federal,--,--,--,--,--,--,0.8,48.300000000000004,44.2,6.7,0,0
42,2017,Rondônia,Total,Estadual,13.6,12,17.6,37.2,13.5,6.1000000000000005,1.9000000000000001,3.3000000000000003,13.9,50.300000000000004,21.2,9.4
43,2017,Rondônia,Urbana,Estadual,10.9,12.700000000000001,17.5,38.2,14.200000000000001,6.5,2,3.4,13.6,49.9,21.400000000000002,9.700000000000001
44,2017,Rondônia,Rural,Estadual,29.900000000000002,7.4,17.1,31.900000000000002,9.3,4.4,0.4,2.4,20.2,50.800000000000004,19.6,6.6000000000000005
45,2017,Rondônia,Total,Municipal,36.4,18.7,23.5,15.5,3.3000000000000003,2.6,--,--,--,--,--,--
46,2017,Rondônia,Urbana,Municipal,38.300000000000004,20.7,22.8,12.8,2.7,2.7,--,--,--,--,--,--
47,2017,Rondônia,Rural,Municipal,31.400000000000002,14.6,24.400000000000002,22.7,4.3,2.6,--,--,--,--,--,--
48,2017,Rondônia,Total,Privada,20.1,13.5,34.6,21.900000000000002,5.4,4.5,2.1,14.3,30.8,32.2,12.200000000000001,8.4
49,2017,Rondônia,Urbana,Privada,20.2,13.3,34.9,21.5,5.5,4.6000000000000005,2,7.6000000000000005,32.2,34.7,13.6,9.9
50,2017,Rondônia,Rural,Privada,19.1,21.400000000000002,23.8,33.3,2.4,0,2.6,51.9,22.1,19.5,3.9,0
51,2017,Rondônia,Total,Pública,26.900000000000002,16.3,21.2,25.2,7.2,3.2,1.7,6,18.7,46.300000000000004,18.900000000000002,8.4
52,2017,Rondônia,Urbana,Pública,24.2,16.8,20.1,26.6,8.4,3.9,2,4.6000000000000005,17.8,47.1,19.6,8.9
53,2017,Rondônia,Rural,Pública,31.2,13.200000000000001,23,24.6,5.3,2.7,0.5,14.6,26.6,39,14.4,4.9
54,2017,Acre,Total,Total,32.4,19.400000000000002,22.5,23.2,1.9000000000000001,0.6,8,13.200000000000001,38.5,34.1,4.6000000000000005,1.6
55,2017,Acre,Urbana,Total,14.4,22.900000000000002,30,29.3,2.6,0.8,0.9,13.200000000000001,43.9,35,5.1000000000000005,1.9000000000000001
56,2017,Acre,Rural,Total,52.6,14.700000000000001,13.6,17.5,1.2,0.4,24.5,12.8,25.1,32.7,3.7,1.2
57,2017,Acre,Total,Federal,12.9,16.1,64.5,6.5,0,0,6.3,35.2,36.9,20.5,1.1,0
58,2017,Acre,Urbana,Federal,12.9,16.1,64.5,6.5,0,0,6.3,35.2,36.9,20.5,1.1,0
59,2017,Acre,Total,Estadual,24.3,20.1,26.3,26.2,2.4,0.7000000000000001,8.700000000000001,10.5,39.1,35.2,4.8,1.7
60,2017,Acre,Urbana,Estadual,8.4,22.7,33.5,31.8,2.8000000000000003,0.8,0.3,9.200000000000001,45.9,36.9,5.6000000000000005,2.1
61,2017,Acre,Rural,Estadual,47.6,15.9,15.200000000000001,18.7,2,0.6,24.5,12.8,25.1,32.7,3.7,1.2
62,2017,Acre,Total,Municipal,42.1,16.3,16.2,23.8,1.1,0.5,--,--,--,--,--,--
63,2017,Acre,Urbana,Municipal,23.6,20.6,20.6,32.3,2.1,0.8,--,--,--,--,--,--
64,2017,Acre,Rural,Municipal,55.2,12.9,13.6,17.7,0.3,0.3,--,--,--,--,--,--
65,2017,Acre,Total,Privada,13.4,14.700000000000001,28.5,36.2,4.9,2.3000000000000003,0,18.8,24.5,43.4,7.7,5.6000000000000005
66,2017,Acre,Urbana,Privada,13.4,14.700000000000001,28.5,36.2,4.9,2.3000000000000003,0,18.8,24.5,43.4,7.7,5.6000000000000005
67,2017,Acre,Total,Pública,33.1,19.5,22.2,22.8,1.8,0.6,8.4,12.6,38.9,34,4.5,1.6
68,2017,Acre,Urbana,Pública,14.3,23.3,30.3,28.900000000000002,2.5,0.7000000000000001,1.1,12.3,44.800000000000004,34.9,5.1000000000000005,1.8
69,2017,Acre,Rural,Pública,52.6,14.700000000000001,13.6,17.5,1.2,0.4,24.5,12.8,25.1,32.7,3.7,1.2
70,2017,Amazonas,Total,Total,23.900000000000002,19.6,25.2,25.3,3.8000000000000003,2.2,1,7.2,26.3,46.6,11.4,7.5
71,2017,Amazonas,Urbana,Total,9.200000000000001,19.5,29.900000000000002,32.6,5.5,3.3000000000000003,0.1,6.8,27.1,46.1,11.8,8.1
72,2017,Amazonas,Rural,Total,48.7,19.3,16.9,13.4,1.2,0.5,9.4,10.700000000000001,17.2,49.5,9.8,3.4
73,2017,Amazonas,Total,Federal,0,86,14,0,0,0,0.6,33.4,21.2,44.300000000000004,0.4,0.1
74,2017,Amazonas,Urbana,Federal,0,86,14,0,0,0,0.4,34.300000000000004,21.8,42.800000000000004,0.5,0.2
75,2017,Amazonas,Rural,Federal,--,--,--,--,--,--,0,17.2,11.4,71.4,0,0
76,2017,Amazonas,Total,Estadual,3,14.200000000000001,25.900000000000002,43.5,8.8,4.6000000000000005,1.2,4.3,25.7,47.2,12.9,8.700000000000001
77,2017,Amazonas,Urbana,Estadual,2.1,13.9,26.5,43.4,9.200000000000001,4.9,0,3.6,26.5,46.9,13.5,9.5
78,2017,Amazonas,Rural,Estadual,11.6,16.2,20,42.6,7.4,2.2,10.1,10.6,17.400000000000002,47.800000000000004,10.5,3.6
79,2017,Amazonas,Total,Municipal,32.9,20.900000000000002,22,20.1,2.3000000000000003,1.8,2.5,15.4,28.2,51.300000000000004,0,2.6
80,2017,Amazonas,Urbana,Municipal,11.700000000000001,22.5,27.900000000000002,30.5,4,3.4,0,20.8,31,44.800000000000004,0,3.4
81,2017,Amazonas,Rural,Municipal,51.5,19.3,16.7,11.4,0.8,0.3,10,0,20,70,0,0
82,2017,Amazonas,Total,Privada,18.6,15.9,36.7,23.7,3.2,1.9000000000000001,0.5,8,32.6,43.2,9.4,6.3
83,2017,Amazonas,Urbana,Privada,18.7,15.9,36.800000000000004,23.5,3.2,1.9000000000000001,0.6,8.1,32.7,42.800000000000004,9.5,6.3
84,2017,Amazonas,Rural,Privada,6.6000000000000005,0,26.7,60,6.7,0,0,0,22.2,77.8,0,0
85,2017,Amazonas,Total,Pública,24.3,19.8,24,25.7,3.9,2.3000000000000003,1,7.1000000000000005,25.3,47,11.700000000000001,7.9
86,2017,Amazonas,Urbana,Pública,7.5,19.8,28.7,34.4,5.9,3.7,0,6.6000000000000005,26.1,46.5,12.200000000000001,8.6
87,2017,Amazonas,Rural,Pública,48.800000000000004,19.3,16.9,13.3,1.2,0.5,9.700000000000001,10.8,17.1,49.1,9.9,3.4
88,2017,Roraima,Total,Total,28.1,13.700000000000001,23.3,28.1,5.5,1.3,2.1,11.1,27.8,44.1,12,2.9
89,2017,Roraima,Urbana,Total,14.1,16.1,30.6,31.6,5.6000000000000005,2,0.9,12,28.7,42.300000000000004,12,4.1
90,2017,Roraima,Rural,Total,45.800000000000004,10,13.5,24.3,5.6000000000000005,0.8,3.4,9.9,26.5,46.7,12.200000000000001,1.3
91,2017,Roraima,Total,Federal,18.400000000000002,60.5,7.9,13.200000000000001,0,0,3.5,45.800000000000004,23.6,27.1,0,0
92,2017,Roraima,Urbana,Federal,18.400000000000002,60.5,7.9,13.200000000000001,0,0,2.6,49,20.900000000000002,27.5,0,0
93,2017,Roraima,Rural,Federal,--,--,--,--,--,--,5.5,38.9,29.2,26.400000000000002,0,0
94,2017,Roraima,Total,Estadual,21.6,9.4,22.900000000000002,35.800000000000004,8.4,1.9000000000000001,1.8,6.4,28.400000000000002,46.300000000000004,13.700000000000001,3.4
95,2017,Roraima,Urbana,Estadual,0.1,7.8,33.5,44.5,10.4,3.7,0.5,5.9,30,44.300000000000004,14.200000000000001,5.1000000000000005
96,2017,Roraima,Rural,Estadual,37.6,10.5,14.8,29.5,7,0.6,3.1,7,26.400000000000002,48.7,13.3,1.5
97,2017,Roraima,Total,Municipal,37,16.4,19.1,21.6,4,1.9000000000000001,--,--,--,--,--,--
98,2017,Roraima,Urbana,Municipal,24.7,20.5,23.5,25.1,4.1,2.1,--,--,--,--,--,--
99,2017,Roraima,Rural,Municipal,60.7,7.8,11.1,14.6,4,1.8,--,--,--,--,--,--
100,2017,Roraima,Total,Privada,13.5,16,38.300000000000004,26.900000000000002,3.7,1.6,2.4,12.200000000000001,23.6,45.5,13,3.3000000000000003
101,2017,Roraima,Urbana,Privada,13.5,16,38.300000000000004,26.900000000000002,3.7,1.6,2.5,9.3,24.6,47.5,12.700000000000001,3.4
102,2017,Roraima,Rural,Privada,--,--,--,--,--,--,0,80,0,0,20,0
103,2017,Roraima,Total,Pública,29.2,13.3,21.900000000000002,28.5,5.7,1.4000000000000001,1.9000000000000001,11,27.8,44.1,12.200000000000001,3
104,2017,Roraima,Urbana,Pública,13.9,15.9,29.1,32.8,6.1000000000000005,2.2,0.8,12.1,28.7,41.800000000000004,12.200000000000001,4.4
105,2017,Roraima,Rural,Pública,45.800000000000004,10,13.5,24.3,5.6000000000000005,0.8,3.5,9.5,26.6,46.9,12.200000000000001,1.3
106,2017,Pará,Total,Total,22.1,14.4,28.3,23.8,6.6000000000000005,4.8,1.1,5.2,17.400000000000002,37.6,20.400000000000002,18.3
107,2017,Pará,Urbana,Total,15.8,14.200000000000001,29,24.900000000000002,8.700000000000001,7.4,1.2,5.1000000000000005,17.5,37.800000000000004,20.1,18.3
108,2017,Pará,Rural,Total,30.2,13.9,26.3,22.8,4.5,2.3000000000000003,1.1,3.8000000000000003,11.9,29.8,26.5,26.900000000000002
109,2017,Pará,Total,Federal,9.200000000000001,39.800000000000004,32.9,13.700000000000001,1.9000000000000001,2.5,3.1,21.900000000000002,40.7,29.8,2.4,2.1
110,2017,Pará,Urbana,Federal,9.200000000000001,39.800000000000004,32.9,13.700000000000001,1.9000000000000001,2.5,3.1,20.7,40.4,31.1,2.5,2.2
111,2017,Pará,Rural,Federal,--,--,--,--,--,--,0,50,47.1,2.9,0,0
112,2017,Pará,Total,Estadual,4.5,5.3,18.5,34,18,19.7,1.1,3.2,13.5,37.2,23.3,21.7
113,2017,Pará,Urbana,Estadual,4.4,5.4,18.7,34.2,17.400000000000002,19.900000000000002,1,3.2,13.5,37.5,23,21.8
114,2017,Pará,Rural,Estadual,5.7,2.2,11.9,30.400000000000002,25.3,24.5,0.8,1.7,8.9,29.2,29.6,29.8
115,2017,Pará,Total,Municipal,24,14.8,29,22.5,5.5,4.2,0,20.7,23.5,17.6,20.6,17.6
116,2017,Pará,Urbana,Municipal,15.9,14.9,30.900000000000002,23.3,7.8,7.2,0,23.1,15.4,19.2,23.1,19.2
117,2017,Pará,Rural,Municipal,30.8,14.3,26.7,22.5,3.9,1.8,0,12.5,50,12.5,12.5,12.5
118,2017,Pará,Total,Privada,22.2,16.1,27.6,22.900000000000002,6.1000000000000005,5.1000000000000005,0.9,7.4,24.8,39,14.700000000000001,13.200000000000001
119,2017,Pará,Urbana,Privada,22.3,16.1,27.6,22.8,6.1000000000000005,5.1000000000000005,0.7000000000000001,7.3,24.7,38.7,15.1,13.5
120,2017,Pará,Rural,Privada,16.5,13.4,25.2,33.1,6.3,5.5,6.5,8.3,26.900000000000002,44.4,5.6000000000000005,8.3
121,2017,Pará,Total,Pública,21.8,13.9,28.1,24.1,6.9,5.2,1.1,4.5,15.3,36.7,22,20.400000000000002
122,2017,Pará,Urbana,Pública,13.700000000000001,13.3,28.900000000000002,25.8,9.6,8.700000000000001,1.3,4.4,15.3,37,21.6,20.400000000000002
123,2017,Pará,Rural,Pública,30.2,13.9,26.3,22.8,4.5,2.3000000000000003,0.6,3.3000000000000003,10.4,28.3,28.6,28.8
124,2017,Amapá,Total,Total,32.9,20,27.7,15.9,2.7,0.8,2.8000000000000003,11.5,37.800000000000004,37.800000000000004,7.6000000000000005,2.5
125,2017,Amapá,Urbana,Total,22.8,22.3,32.6,18.1,3.2,1,0.3,10.200000000000001,39.800000000000004,38.2,8.5,3
126,2017,Amapá,Rural,Total,55.300000000000004,14.4,16.8,11.3,1.9000000000000001,0.3,13.5,17.400000000000002,27.5,35.6,5.3,0.7000000000000001
127,2017,Amapá,Total,Federal,--,--,--,--,--,--,0.6,17.8,31.1,43.300000000000004,5,2.2
128,2017,Amapá,Urbana,Federal,--,--,--,--,--,--,0.6,17.8,31.1,43.300000000000004,5,2.2
129,2017,Amapá,Total,Estadual,27.2,18.7,32,18.3,3.1,0.7000000000000001,2.9,11.1,37.9,37.7,7.8,2.6
130,2017,Amapá,Urbana,Estadual,12.5,20.6,41.1,20.900000000000002,3.9,1,0.2,9.6,41.2,37.5,8.3,3.2
131,2017,Amapá,Rural,Estadual,53.5,15.200000000000001,15.700000000000001,13.700000000000001,1.7,0.2,14.4,17.2,23.1,38.800000000000004,5.7,0.8
132,2017,Amapá,Total,Municipal,46.800000000000004,22.2,16.2,11.1,2.9,0.8,--,--,--,--,--,--
133,2017,Amapá,Urbana,Municipal,40.6,26.400000000000002,15.9,13,3.2,0.9,--,--,--,--,--,--
134,2017,Amapá,Rural,Municipal,61.5,11.700000000000001,17.1,6.5,2.6,0.6,--,--,--,--,--,--
135,2017,Amapá,Total,Privada,18.400000000000002,16,33.5,24.7,4.6000000000000005,2.8000000000000003,1.3,7.6000000000000005,32.9,37.5,13.5,7.2
136,2017,Amapá,Urbana,Privada,19.3,15.5,31.6,25.8,4.9,2.9,0.4,5.5,27.3,42.6,15.6,8.6
137,2017,Amapá,Rural,Privada,2.5,25,70,2.5,0,0,6.2,18.8,62.5,10.4,2.1,0
138,2017,Amapá,Total,Pública,34.6,20.2,26.8,15.200000000000001,2.6,0.6,2.8000000000000003,11.6,37.300000000000004,38.1,7.6000000000000005,2.6
139,2017,Amapá,Urbana,Pública,23,23.2,32.5,17.3,3.2,0.8,0.3,10.4,40.2,38.1,8,3
140,2017,Amapá,Rural,Pública,56.300000000000004,14.200000000000001,15.8,11.5,1.9000000000000001,0.3,14.4,17.2,23.1,38.800000000000004,5.7,0.8
141,2017,Tocantins,Total,Total,25.5,14.5,26.900000000000002,26.3,5.6000000000000005,1.2,1.2,8.1,22.8,51.7,13.4,2.8000000000000003
142,2017,Tocantins,Urbana,Total,21.5,14.4,28.3,28.1,6.4,1.3,1.3,7.6000000000000005,21.3,52.300000000000004,14.4,3.1
143,2017,Tocantins,Rural,Total,40.2,14.1,21,20.8,3.2,0.7000000000000001,0.7000000000000001,10.8,31.7,48.2,7.5,1.1
144,2017,Tocantins,Total,Federal,--,--,--,--,--,--,2.6,40.800000000000004,32.3,22.2,2.1,0
145,2017,Tocantins,Urbana,Federal,--,--,--,--,--,--,2.7,41,26.8,26.8,2.7,0
146,2017,Tocantins,Rural,Federal,--,--,--,--,--,--,2.2,39.800000000000004,50.5,7.5,0,0
147,2017,Tocantins,Total,Estadual,8.6,5.7,26.6,45.6,11.5,2,1,4.7,19.7,56.2,15.200000000000001,3.2
148,2017,Tocantins,Urbana,Estadual,6.6000000000000005,6.3,26,46.4,12.5,2.2,1.1,4.4,18.400000000000002,56.300000000000004,16.3,3.5
149,2017,Tocantins,Rural,Estadual,18.6,2.4,29.2,42,6.6000000000000005,1.2,0.6,6.4,27.400000000000002,55.4,8.9,1.3
150,2017,Tocantins,Total,Municipal,39.1,20.8,24,12.5,2.4,1.2,--,--,--,--,--,--
151,2017,Tocantins,Urbana,Municipal,34.4,21.3,26.6,13.6,2.7,1.4000000000000001,--,--,--,--,--,--
152,2017,Tocantins,Rural,Municipal,50.5,19.1,16.7,11.4,1.8,0.5,--,--,--,--,--,--
153,2017,Tocantins,Total,Privada,16.9,12.6,38.1,26.1,4.5,1.8,0.7000000000000001,9.8,41.1,34.800000000000004,10.3,3.3000000000000003
154,2017,Tocantins,Urbana,Privada,17.1,12.200000000000001,37.7,26.5,4.6000000000000005,1.9000000000000001,0.8,9.8,39.7,35.5,10.700000000000001,3.5
155,2017,Tocantins,Rural,Privada,5.9,29.400000000000002,52.9,11.8,0,0,0,9.1,68.2,22.7,0,0
156,2017,Tocantins,Total,Pública,26.400000000000002,14.5,25.5,26.6,5.8,1.2,1.3,7.8,20.8,53.2,14,2.9
157,2017,Tocantins,Urbana,Pública,21.8,14.6,26.8,28.6,6.8,1.4000000000000001,1.3,7.3,19,54,15.200000000000001,3.2
158,2017,Tocantins,Rural,Pública,40.5,13.9,20.7,20.900000000000002,3.3000000000000003,0.7000000000000001,0.8,10.9,30.5,49,7.7,1.1
159,2017,Nordeste,Total,Total,24,19.3,25.7,23.5,4.9,2.6,1,9.4,29,39.6,13.4,7.6000000000000005
160,2017,Nordeste,Urbana,Total,17.900000000000002,18.6,28.1,26.1,5.9,3.4,0.9,8.8,29.2,39.7,13.6,7.8
161,2017,Nordeste,Rural,Total,34.9,18.900000000000002,19.6,21.2,3.5,1.9000000000000001,1.6,14.4,21.7,39.6,14.9,7.8
162,2017,Nordeste,Total,Federal,10.3,41.5,28,16.7,2.8000000000000003,0.7000000000000001,2.6,22.1,35.2,35.9,3.4,0.8
163,2017,Nordeste,Urbana,Federal,8.5,42.7,29.6,16.5,2.3000000000000003,0.4,2.4,21,35.7,36.6,3.4,0.9
164,2017,Nordeste,Rural,Federal,31.8,27.3,9.1,18.2,9.1,4.5,3.8000000000000003,28.1,32.3,32.1,3.3000000000000003,0.4
165,2017,Nordeste,Total,Estadual,7.6000000000000005,8.3,20,42,13.8,8.3,0.8,7.9,27.900000000000002,39.4,15.1,8.9
166,2017,Nordeste,Urbana,Estadual,5.7,8.2,20.2,42.800000000000004,14.200000000000001,8.9,0.7000000000000001,7.4,28.2,39.4,15.200000000000001,9.1
167,2017,Nordeste,Rural,Estadual,22.6,8.8,17.6,35.300000000000004,11.200000000000001,4.5,1,11.5,20.3,40.800000000000004,17.2,9.200000000000001
168,2017,Nordeste,Total,Municipal,25.8,20.6,24.400000000000002,22,4.5,2.7,1.8,13.200000000000001,17.400000000000002,50.4,12.8,4.4
169,2017,Nordeste,Urbana,Municipal,17.6,20.6,27.400000000000002,25,5.8,3.6,1.9000000000000001,14,16.7,47.800000000000004,14.700000000000001,4.9
170,2017,Nordeste,Rural,Municipal,35.5,19.2,19.5,20.7,3.3000000000000003,1.8,1.7,12.3,18.1,52.9,10.9,4.1
171,2017,Nordeste,Total,Privada,21.7,16.5,30.5,23.8,4.6000000000000005,2.9,1,9.9,27.2,40.9,12.4,8.6
172,2017,Nordeste,Urbana,Privada,21.7,16.4,30.5,23.900000000000002,4.6000000000000005,2.9,0.9,9.3,27.3,41.300000000000004,12.5,8.700000000000001
173,2017,Nordeste,Rural,Privada,28.5,18.3,27.900000000000002,21.3,2.5,1.5,6.1000000000000005,31.400000000000002,23.5,27.5,6.8,4.7
174,2017,Nordeste,Total,Pública,23.8,19.5,24.2,24.3,5.3,2.9,0.9,9,28.400000000000002,39.2,14.200000000000001,8.3
175,2017,Nordeste,Urbana,Pública,15.8,18.8,26.6,28,6.8,4,1,8.3,28.7,39.2,14.3,8.5
176,2017,Nordeste,Rural,Pública,34.9,18.900000000000002,19.5,21.3,3.5,1.9000000000000001,1.3,13.4,21.6,40.300000000000004,15.4,8
177,2017,Maranhão,Total,Total,28.3,26.400000000000002,18.400000000000002,21.5,3.5,1.9000000000000001,0.8,13.1,24.5,40.5,13.5,7.6000000000000005
178,2017,Maranhão,Urbana,Total,18.5,26.7,20.8,26.6,4.6000000000000005,2.8000000000000003,0.4,11.4,25.7,40.800000000000004,13.700000000000001,8
179,2017,Maranhão,Rural,Total,37.7,24.2,15.4,18.6,2.6,1.5,1.6,17.1,14.4,42.300000000000004,15.4,9.200000000000001
180,2017,Maranhão,Total,Federal,13.6,39.2,11.8,27.5,5.9,2,0.7000000000000001,19.900000000000002,30.6,39.5,8,1.3
181,2017,Maranhão,Urbana,Federal,0,48.300000000000004,13.8,34.5,3.4,0,0.7000000000000001,19.400000000000002,31.900000000000002,38.300000000000004,8.1,1.6
182,2017,Maranhão,Rural,Federal,31.8,27.3,9.1,18.2,9.1,4.5,0.4,21.2,27.1,43.1,7.8,0.4
183,2017,Maranhão,Total,Estadual,12.8,12.200000000000001,16.7,45,7.9,5.4,0.3,12.1,24.1,40.1,14.700000000000001,8.700000000000001
184,2017,Maranhão,Urbana,Estadual,1.4000000000000001,11.700000000000001,15.6,55.6,8.700000000000001,7,0.2,10.5,25.5,40,14.8,9
185,2017,Maranhão,Rural,Estadual,31.2,13.1,18.5,27.6,6.8,2.8000000000000003,0.8,15.6,12.700000000000001,43.4,16.8,10.700000000000001
186,2017,Maranhão,Total,Municipal,28.900000000000002,27.6,17.3,20.7,3.5,2,5.5,27,17.900000000000002,35.300000000000004,10.700000000000001,3.6
187,2017,Maranhão,Urbana,Municipal,17.7,29.1,19.5,25.900000000000002,4.8,3,4.7,32.9,16.1,31.5,9.4,5.4
188,2017,Maranhão,Rural,Municipal,37.9,24.6,15.1,18.400000000000002,2.6,1.4000000000000001,6.8,18.400000000000002,20.400000000000002,40.800000000000004,12.6,1
189,2017,Maranhão,Total,Privada,23.1,16.2,26.7,27.7,4,2.3000000000000003,3,12.6,20.8,45.4,10.8,7.4
190,2017,Maranhão,Urbana,Privada,22.6,16.1,26.5,28.2,4.2,2.4,2.2,10.3,21.1,47.5,11.200000000000001,7.7
191,2017,Maranhão,Rural,Privada,30.8,15.6,28.900000000000002,22.1,1.6,1,9.200000000000001,28.8,17.900000000000002,30.3,8,5.8
192,2017,Maranhão,Total,Pública,28.5,27.2,17.3,21.400000000000002,3.6,2,0.4,12.9,24.5,40,14.1,8.1
193,2017,Maranhão,Urbana,Pública,17,28.5,19.400000000000002,27.1,4.9,3.1,0.3,11.200000000000001,25.8,39.800000000000004,14.3,8.6
