,year,region,location,adm,elem_0,prim_0,sec_0
69,2013,Pará,Total,Total,36.7,58.6,96.8
70,2013,Pará,Total,Federal,90,98.1,99.8
71,2013,Pará,Total,Estadual,82.8,93.8,98.1
72,2013,Pará,Total,Municipal,35.2,49.8,96.3
73,2013,Pará,Total,Privada,43.1,70.1,89.9
74,2013,Pará,Total,Pública,35.5,57.3,98.1
75,2013,Pará,Urbana,Total,43.3,74,97
76,2013,Pará,Urbana,Federal,90,98.1,99.8
77,2013,Pará,Urbana,Estadual,88,94.4,98.3
78,2013,Pará,Urbana,Municipal,42.9,67.4,100
79,2013,Pará,Urbana,Privada,43.4,70.4,90.5
80,2013,Pará,Urbana,Pública,43.3,74.7,98.4
81,2013,Pará,Rural,Total,22.1,37.1,94.5
82,2013,Pará,Rural,Federal,--,--,100
83,2013,Pará,Rural,Estadual,50,90.1,95.7
84,2013,Pará,Rural,Municipal,22,34.1,83.3
85,2013,Pará,Rural,Privada,16.7,49.2,75.2
86,2013,Pará,Rural,Pública,22.1,37,95.8
87,2013,Amapá,Total,Total,34.2,65.8,97.6
88,2013,Amapá,Total,Federal,--,--,100
89,2013,Amapá,Total,Estadual,0,74.1,97.8
90,2013,Amapá,Total,Municipal,31.6,45.5,--
91,2013,Amapá,Total,Privada,47.6,76.9,95.3
92,2013,Amapá,Total,Pública,30.8,64.8,97.9
93,2013,Amapá,Urbana,Total,38.1,72.1,97.7
94,2013,Amapá,Urbana,Federal,--,--,100
95,2013,Amapá,Urbana,Estadual,--,82.3,97.9
96,2013,Amapá,Urbana,Municipal,34.6,51.9,--
97,2013,Amapá,Urbana,Privada,47.6,75.8,96
98,2013,Amapá,Urbana,Pública,34.6,71.6,98
99,2013,Amapá,Rural,Total,22,51.5,96.9
100,2013,Amapá,Rural,Estadual,0,59.1,97.7
101,2013,Amapá,Rural,Municipal,24.2,29,--
102,2013,Amapá,Rural,Privada,--,94.6,92.5
103,2013,Amapá,Rural,Pública,22,50.8,97.7
104,2013,Tocantins,Total,Total,60.9,82.5,96.1
105,2013,Tocantins,Total,Federal,--,--,100
106,2013,Tocantins,Total,Estadual,--,93.4,96.8
107,2013,Tocantins,Total,Municipal,62.3,73.6,94.1
108,2013,Tocantins,Total,Privada,53.1,74.9,88.8
109,2013,Tocantins,Total,Pública,62.3,83.3,97
110,2013,Tocantins,Urbana,Total,62.3,89.6,97.9
111,2013,Tocantins,Urbana,Federal,--,--,100
112,2013,Tocantins,Urbana,Estadual,--,97.4,99
113,2013,Tocantins,Urbana,Municipal,64.2,84,--
114,2013,Tocantins,Urbana,Privada,53.1,74.6,89.1
115,2013,Tocantins,Urbana,Pública,64.2,91.4,99.1
116,2013,Tocantins,Rural,Total,46.5,56.4,81.1
117,2013,Tocantins,Rural,Federal,--,--,100
118,2013,Tocantins,Rural,Estadual,--,65.2,78.5
119,2013,Tocantins,Rural,Municipal,46.5,52.8,94.1
120,2013,Tocantins,Rural,Privada,--,83.9,78.9
121,2013,Tocantins,Rural,Pública,46.5,56.1,81.2
122,2013,Maranhão,Total,Total,29.6,49.8,92.9
123,2013,Maranhão,Total,Federal,--,100,94.1
124,2013,Maranhão,Total,Estadual,20,75.5,95.1
125,2013,Maranhão,Total,Municipal,30,47.5,78.8
126,2013,Maranhão,Total,Privada,27.8,55.4,81.8
127,2013,Maranhão,Total,Pública,30,49.2,94.6
128,2013,Maranhão,Urbana,Total,35.9,65.6,94.2
129,2013,Maranhão,Urbana,Federal,--,100,92.5
130,2013,Maranhão,Urbana,Estadual,--,89.9,96.3
131,2013,Maranhão,Urbana,Municipal,38.2,65.1,86.5
132,2013,Maranhão,Urbana,Privada,29.1,56.3,83
133,2013,Maranhão,Urbana,Pública,38.2,67.4,96.1
134,2013,Maranhão,Rural,Total,18.9,31.7,86.6
135,2013,Maranhão,Rural,Federal,--,100,99
136,2013,Maranhão,Rural,Estadual,20,33.3,88.3
137,2013,Maranhão,Rural,Municipal,19.1,31.4,72
138,2013,Maranhão,Rural,Privada,15.9,41.4,68
139,2013,Maranhão,Rural,Pública,19.1,31.5,87.9
140,2013,Piauí,Total,Total,45.1,68,86.7
141,2013,Piauí,Total,Federal,33.3,--,98.4
142,2013,Piauí,Total,Estadual,--,83.1,86.3
143,2013,Piauí,Total,Municipal,45.1,64.8,83.8
144,2013,Piauí,Total,Privada,45.5,69.8,85.4
145,2013,Piauí,Total,Pública,45.1,67.8,87
146,2013,Piauí,Urbana,Total,50.4,75.9,87.1
147,2013,Piauí,Urbana,Federal,33.3,--,98.3
148,2013,Piauí,Urbana,Estadual,--,83.1,86.8
149,2013,Piauí,Urbana,Municipal,52,75.5,94.3
150,2013,Piauí,Urbana,Privada,45.8,69.9,85.7
151,2013,Piauí,Urbana,Pública,51.9,77.5,87.5
152,2013,Piauí,Rural,Total,35.3,52.9,79.1
153,2013,Piauí,Rural,Federal,--,--,100
154,2013,Piauí,Rural,Estadual,--,77.4,79.5
155,2013,Piauí,Rural,Municipal,35.4,52.8,73.6
156,2013,Piauí,Rural,Privada,12.5,52.3,71.7
157,2013,Piauí,Rural,Pública,35.4,52.9,79.8
158,2013,Ceará,Total,Total,51.7,72.9,87
159,2013,Ceará,Total,Federal,100,91.3,99.3
160,2013,Ceará,Total,Estadual,25.5,83.3,87.2
161,2013,Ceará,Total,Municipal,56.7,75.3,--
162,2013,Ceará,Total,Privada,38.5,61.8,85.2
163,2013,Ceará,Total,Pública,56.4,76,87.5
164,2013,Ceará,Urbana,Total,54.8,77.4,87.2
165,2013,Ceará,Urbana,Federal,100,91.3,99.2
166,2013,Ceará,Urbana,Estadual,53.8,87.9,87.5
167,2013,Ceará,Urbana,Municipal,63.8,83.7,--
168,2013,Ceará,Urbana,Privada,38.6,61.9,85.2
169,2013,Ceará,Urbana,Pública,63.8,84.2,87.8
170,2013,Ceará,Rural,Total,43.8,61.7,79.4
171,2013,Ceará,Rural,Federal,--,--,100
172,2013,Ceará,Rural,Estadual,14.7,25.5,76.8
173,2013,Ceará,Rural,Municipal,44.4,62.4,--
174,2013,Ceará,Rural,Privada,26.1,40.8,87.5
175,2013,Ceará,Rural,Pública,44,61.8,79.3
176,2013,Rio Grande do Norte,Total,Total,55.3,78.7,93.3
177,2013,Rio Grande do Norte,Total,Federal,100,100,99.5
178,2013,Rio Grande do Norte,Total,Estadual,--,88.7,96.2
179,2013,Rio Grande do Norte,Total,Municipal,60.7,80.8,--
180,2013,Rio Grande do Norte,Total,Privada,39.5,63.1,84.3
181,2013,Rio Grande do Norte,Total,Pública,60.9,83.1,96.6
182,2013,Rio Grande do Norte,Urbana,Total,57.3,81,93.3
183,2013,Rio Grande do Norte,Urbana,Federal,100,100,99.6
184,2013,Rio Grande do Norte,Urbana,Estadual,--,89.4,96.2
185,2013,Rio Grande do Norte,Urbana,Municipal,65.8,86.8,--
186,2013,Rio Grande do Norte,Urbana,Privada,39.5,63.3,84.4
187,2013,Rio Grande do Norte,Urbana,Pública,66,87.7,96.7
188,2013,Rio Grande do Norte,Rural,Total,48,69.8,95.3
189,2013,Rio Grande do Norte,Rural,Federal,--,--,99
190,2013,Rio Grande do Norte,Rural,Estadual,--,80,94.3
191,2013,Rio Grande do Norte,Rural,Municipal,48.1,69.2,--
192,2013,Rio Grande do Norte,Rural,Privada,40.7,44.9,75
193,2013,Rio Grande do Norte,Rural,Pública,48.1,70,96.3
194,2013,Paraíba,Total,Total,46.2,70.6,86
195,2013,Paraíba,Total,Federal,91.7,80,100
196,2013,Paraíba,Total,Estadual,23.5,77.1,86.7
197,2013,Paraíba,Total,Municipal,53.4,73.1,92.8
198,2013,Paraíba,Total,Privada,28.9,54.7,79.8
199,2013,Paraíba,Total,Pública,53.5,74.4,87.6
200,2013,Paraíba,Urbana,Total,46.2,73.6,86
201,2013,Paraíba,Urbana,Federal,100,80,100
202,2013,Paraíba,Urbana,Estadual,50,78.6,86.9
203,2013,Paraíba,Urbana,Municipal,56,80,93.3
204,2013,Paraíba,Urbana,Privada,29,54.8,79.8
205,2013,Paraíba,Urbana,Pública,56.2,79.5,87.8
206,2013,Paraíba,Rural,Total,46.1,59.9,83.2
207,2013,Paraíba,Rural,Federal,33.3,--,100
208,2013,Paraíba,Rural,Estadual,9.1,58.6,80
209,2013,Paraíba,Rural,Municipal,46.6,60.1,77.8
210,2013,Paraíba,Rural,Privada,15.4,27.3,--
211,2013,Paraíba,Rural,Pública,46.4,60,83.2
212,2013,Pernambuco,Total,Total,38.7,67,93.4
213,2013,Pernambuco,Total,Federal,--,97.6,99.3
214,2013,Pernambuco,Total,Estadual,16.9,90.8,95.7
215,2013,Pernambuco,Total,Municipal,49.5,65.2,88.6
216,2013,Pernambuco,Total,Privada,26.2,53.8,85.1
217,2013,Pernambuco,Total,Pública,49.1,71.6,95.8
218,2013,Pernambuco,Urbana,Total,39.9,71.2,93.8
219,2013,Pernambuco,Urbana,Federal,--,97.6,99.2
220,2013,Pernambuco,Urbana,Estadual,58.3,95.1,96.5
221,2013,Pernambuco,Urbana,Municipal,55.4,72.6,89.3
222,2013,Pernambuco,Urbana,Privada,26.5,53.9,85.1
223,2013,Pernambuco,Urbana,Pública,55.4,79.7,96.5
224,2013,Pernambuco,Rural,Total,33.1,52.3,86.6
225,2013,Pernambuco,Rural,Federal,--,--,99.5
226,2013,Pernambuco,Rural,Estadual,7.5,54.6,84.6
227,2013,Pernambuco,Rural,Municipal,35.2,52.1,86.4
228,2013,Pernambuco,Rural,Privada,15.3,46.1,70
229,2013,Pernambuco,Rural,Pública,34.2,52.3,86.7
230,2013,Alagoas,Total,Total,35.2,59.9,76.3
231,2013,Alagoas,Total,Federal,--,--,97.6
232,2013,Alagoas,Total,Estadual,6.7,75.8,77.2
233,2013,Alagoas,Total,Municipal,39.2,60,83.3
234,2013,Alagoas,Total,Privada,24.3,48.2,69.1
235,2013,Alagoas,Total,Pública,39.1,62.7,79.3
236,2013,Alagoas,Urbana,Total,37.1,64.1,76.3
237,2013,Alagoas,Urbana,Federal,--,--,97.6
238,2013,Alagoas,Urbana,Estadual,100,77.2,77.2
239,2013,Alagoas,Urbana,Municipal,44,67.3,83.3
240,2013,Alagoas,Urbana,Privada,24.6,48.3,69.1
241,2013,Alagoas,Urbana,Pública,44,69.7,79.5
242,2013,Alagoas,Rural,Total,30.5,48.3,76
243,2013,Alagoas,Rural,Estadual,0,57.8,76
244,2013,Alagoas,Rural,Municipal,31.1,48.1,--
245,2013,Alagoas,Rural,Privada,12.2,35.7,--
246,2013,Alagoas,Rural,Pública,30.9,48.4,76
247,2013,Sergipe,Total,Total,54.3,82.2,96.3
248,2013,Sergipe,Total,Federal,--,100,98.3
249,2013,Sergipe,Total,Estadual,--,95.8,98.7
250,2013,Sergipe,Total,Municipal,59.4,79.8,--
251,2013,Sergipe,Total,Privada,43.5,71.2,90.3
252,2013,Sergipe,Total,Pública,59.4,85.1,98.7
253,2013,Sergipe,Urbana,Total,55.1,84.3,96.1
254,2013,Sergipe,Urbana,Federal,--,100,97.4
255,2013,Sergipe,Urbana,Estadual,--,96,98.7
256,2013,Sergipe,Urbana,Municipal,63.4,83.3,--
257,2013,Sergipe,Urbana,Privada,44.2,71.4,90.3
258,2013,Sergipe,Urbana,Pública,63.4,89.3,98.7
259,2013,Sergipe,Rural,Total,52.3,76.8,98.5
260,2013,Sergipe,Rural,Federal,--,--,99.3
261,2013,Sergipe,Rural,Estadual,--,91.9,97.9
262,2013,Sergipe,Rural,Municipal,53.4,76.1,--
263,2013,Sergipe,Rural,Privada,24.4,51.9,--
264,2013,Sergipe,Rural,Pública,53.4,77.1,98.5
265,2013,Bahia,Total,Total,35.8,57.3,79.3
266,2013,Bahia,Total,Federal,--,100,87.3
267,2013,Bahia,Total,Estadual,17.2,82.6,79.1
268,2013,Bahia,Total,Municipal,39.4,54,56.1
269,2013,Bahia,Total,Privada,26,52.3,82
270,2013,Bahia,Total,Pública,39.4,58.3,78.7
271,2013,Bahia,Urbana,Total,38.2,65.1,80.2
272,2013,Bahia,Urbana,Federal,--,100,84.8
273,2013,Bahia,Urbana,Estadual,18.8,83.8,79.7
274,2013,Bahia,Urbana,Municipal,45.1,64.4,68.1
275,2013,Bahia,Urbana,Privada,26.1,52.3,82.4
276,2013,Bahia,Urbana,Pública,45,69,79.7
277,2013,Bahia,Rural,Total,29.5,41.7,65.2
278,2013,Bahia,Rural,Federal,--,--,98.9
279,2013,Bahia,Rural,Estadual,16.7,58,67
280,2013,Bahia,Rural,Municipal,29.7,41.3,46.9
281,2013,Bahia,Rural,Privada,23.2,52.6,64.5
282,2013,Bahia,Rural,Pública,29.6,41.6,65.3
283,2013,Minas Gerais,Total,Total,64.6,88.9,94.3
284,2013,Minas Gerais,Total,Federal,100,99.6,99.5
285,2013,Minas Gerais,Total,Estadual,4,93.7,94.2
286,2013,Minas Gerais,Total,Municipal,72.6,85.8,96.9
287,2013,Minas Gerais,Total,Privada,48.2,83.6,93.8
288,2013,Minas Gerais,Total,Pública,72.6,89.7,94.4
289,2013,Minas Gerais,Urbana,Total,64.3,90.6,94.5
290,2013,Minas Gerais,Urbana,Federal,100,99.6,99.4
291,2013,Minas Gerais,Urbana,Estadual,0,94.2,94.4
292,2013,Minas Gerais,Urbana,Municipal,72.9,89,96.9
293,2013,Minas Gerais,Urbana,Privada,48.2,83.7,94
294,2013,Minas Gerais,Urbana,Pública,72.9,91.9,94.6
295,2013,Minas Gerais,Rural,Total,69.4,77.3,90
296,2013,Minas Gerais,Rural,Federal,--,--,99.5
297,2013,Minas Gerais,Rural,Estadual,4.2,86.3,88.7
298,2013,Minas Gerais,Rural,Municipal,70.2,75.1,97
299,2013,Minas Gerais,Rural,Privada,51.8,58.7,66.1
300,2013,Minas Gerais,Rural,Pública,69.7,77.4,91
301,2013,Espírito Santo,Total,Total,85.8,92.3,97.3
302,2013,Espírito Santo,Total,Federal,91.7,--,99.5
303,2013,Espírito Santo,Total,Estadual,--,97.1,98.1
304,2013,Espírito Santo,Total,Municipal,88.3,91.8,80
305,2013,Espírito Santo,Total,Privada,67.7,84.9,93.8
306,2013,Espírito Santo,Total,Pública,88.3,93.3,98.2
307,2013,Espírito Santo,Urbana,Total,86.6,93.5,97.4
308,2013,Espírito Santo,Urbana,Federal,91.7,--,99.4
309,2013,Espírito Santo,Urbana,Estadual,--,97.5,98.1
310,2013,Espírito Santo,Urbana,Municipal,89.5,93.8,--
311,2013,Espírito Santo,Urbana,Privada,67.8,84.8,94.1
312,2013,Espírito Santo,Urbana,Pública,89.5,94.9,98.2
313,2013,Espírito Santo,Rural,Total,79.5,85.3,96.2
314,2013,Espírito Santo,Rural,Federal,--,--,100
315,2013,Espírito Santo,Rural,Estadual,--,93.3,97.4
316,2013,Espírito Santo,Rural,Municipal,79.8,83.7,80
317,2013,Espírito Santo,Rural,Privada,65.4,89.7,89.8
318,2013,Espírito Santo,Rural,Pública,79.8,85.2,97.7
319,2013,Rio de Janeiro,Total,Total,42.9,77,97.6
320,2013,Rio de Janeiro,Total,Federal,71.9,96.7,99.3
321,2013,Rio de Janeiro,Total,Estadual,73.8,97.3,99.1
322,2013,Rio de Janeiro,Total,Municipal,53.7,77.5,98.3
323,2013,Rio de Janeiro,Total,Privada,30.3,66,94.2
324,2013,Rio de Janeiro,Total,Pública,53.9,82.8,99.1
325,2013,Rio de Janeiro,Urbana,Total,43.2,77.6,97.6
326,2013,Rio de Janeiro,Urbana,Federal,71.9,96.7,99.3
327,2013,Rio de Janeiro,Urbana,Estadual,73.8,97.4,99.1
328,2013,Rio de Janeiro,Urbana,Municipal,55.5,79.2,98.3
329,2013,Rio de Janeiro,Urbana,Privada,30.3,66.1,94.2
330,2013,Rio de Janeiro,Urbana,Pública,55.7,84.2,99.1
331,2013,Rio de Janeiro,Rural,Total,38.5,67.8,97.5
332,2013,Rio de Janeiro,Rural,Federal,--,--,100
333,2013,Rio de Janeiro,Rural,Estadual,--,96.1,98
334,2013,Rio de Janeiro,Rural,Municipal,39.6,62.8,100
335,2013,Rio de Janeiro,Rural,Privada,23.7,56.8,88.4
336,2013,Rio de Janeiro,Rural,Pública,39.6,68.4,98.1
337,2013,São Paulo,Total,Total,76.6,91.1,95
338,2013,São Paulo,Total,Federal,100,100,99.8
339,2013,São Paulo,Total,Estadual,64,91.4,94.6
340,2013,São Paulo,Total,Municipal,84.8,92.6,98.5
341,2013,São Paulo,Total,Privada,62.8,88.4,96.2
342,2013,São Paulo,Total,Pública,84.7,91.9,94.7
343,2013,São Paulo,Urbana,Total,76.6,91.2,95.1
344,2013,São Paulo,Urbana,Federal,100,100,99.8
345,2013,São Paulo,Urbana,Estadual,67,91.4,94.6
346,2013,São Paulo,Urbana,Municipal,84.9,92.9,98.6
347,2013,São Paulo,Urbana,Privada,62.8,88.4,96.2
348,2013,São Paulo,Urbana,Pública,84.9,92.1,94.7
349,2013,São Paulo,Rural,Total,77.4,86,93.2
350,2013,São Paulo,Rural,Federal,100,--,--
351,2013,São Paulo,Rural,Estadual,36.4,87.9,93
352,2013,São Paulo,Rural,Municipal,79.2,85,96.1
353,2013,São Paulo,Rural,Privada,64.3,85.7,95.8
354,2013,São Paulo,Rural,Pública,78.6,86,93.1
355,2013,Paraná,Total,Total,66,91.2,96.1
356,2013,Paraná,Total,Federal,50,100,98
357,2013,Paraná,Total,Estadual,31.3,95.5,96
358,2013,Paraná,Total,Municipal,72.3,88.2,--
359,2013,Paraná,Total,Privada,52.3,85.1,96.7
360,2013,Paraná,Total,Pública,72.2,92.1,96
361,2013,Paraná,Urbana,Total,66.1,92.2,96.5
362,2013,Paraná,Urbana,Federal,50,100,98
363,2013,Paraná,Urbana,Estadual,100,96.4,96.4
364,2013,Paraná,Urbana,Municipal,72.6,90,--
365,2013,Paraná,Urbana,Privada,52.3,85.2,96.7
366,2013,Paraná,Urbana,Pública,72.5,93.4,96.4
367,2013,Paraná,Rural,Total,62.5,81.8,91.2
368,2013,Paraná,Rural,Federal,--,--,--
369,2013,Paraná,Rural,Estadual,30.3,88.3,91.1
370,2013,Paraná,Rural,Municipal,66.2,74,--
371,2013,Paraná,Rural,Privada,31.3,79.2,94.5
372,2013,Paraná,Rural,Pública,63.1,81.8,91.1
373,2013,Santa Catarina,Total,Total,73.1,84,86.3
374,2013,Santa Catarina,Total,Federal,94.4,100,99.1
375,2013,Santa Catarina,Total,Estadual,85.7,81.7,84.4
376,2013,Santa Catarina,Total,Municipal,77.3,85.8,89.3
377,2013,Santa Catarina,Total,Privada,53.2,82.9,91.8
378,2013,Santa Catarina,Total,Pública,77.3,84.2,85.1
379,2013,Santa Catarina,Urbana,Total,73.2,85,86.6
380,2013,Santa Catarina,Urbana,Federal,94.4,100,99.1
381,2013,Santa Catarina,Urbana,Estadual,85.7,82.5,84.7
382,2013,Santa Catarina,Urbana,Municipal,77.8,87.4,95.1
383,2013,Santa Catarina,Urbana,Privada,53.2,82.9,91.8
384,2013,Santa Catarina,Urbana,Pública,77.8,85.3,85.4
385,2013,Santa Catarina,Rural,Total,72.7,77.8,81.5
386,2013,Santa Catarina,Rural,Federal,--,--,99.1
387,2013,Santa Catarina,Rural,Estadual,--,75,78.3
388,2013,Santa Catarina,Rural,Municipal,73,78.8,79.6
389,2013,Santa Catarina,Rural,Privada,25,--,91.3
390,2013,Santa Catarina,Rural,Pública,73,77.8,80.8
391,2013,Rio Grande do Sul,Total,Total,55.2,86.7,94.5
392,2013,Rio Grande do Sul,Total,Federal,78.4,98,99.2
393,2013,Rio Grande do Sul,Total,Estadual,78.1,87.4,94.1
394,2013,Rio Grande do Sul,Total,Municipal,68.3,86.4,98.8
395,2013,Rio Grande do Sul,Total,Privada,34,85.6,94.7
396,2013,Rio Grande do Sul,Total,Pública,68.7,86.9,94.4
397,2013,Rio Grande do Sul,Urbana,Total,54,87.3,94.4
398,2013,Rio Grande do Sul,Urbana,Federal,78.4,98,99.1
399,2013,Rio Grande do Sul,Urbana,Estadual,77.8,87.7,94.1
400,2013,Rio Grande do Sul,Urbana,Municipal,67.6,87.4,99.8
401,2013,Rio Grande do Sul,Urbana,Privada,34.1,85.7,94.7
402,2013,Rio Grande do Sul,Urbana,Pública,68,87.6,94.4
403,2013,Rio Grande do Sul,Rural,Total,73.9,83.9,95.5
404,2013,Rio Grande do Sul,Rural,Federal,--,--,99.7
405,2013,Rio Grande do Sul,Rural,Estadual,80,85.3,94.3
406,2013,Rio Grande do Sul,Rural,Municipal,74.7,83.4,94.6
407,2013,Rio Grande do Sul,Rural,Privada,19.4,66.7,97.1
408,2013,Rio Grande do Sul,Rural,Pública,75,84,95.5
409,2013,Mato Grosso do Sul,Total,Total,87.1,92.7,97
410,2013,Mato Grosso do Sul,Total,Federal,--,100,99.6
411,2013,Mato Grosso do Sul,Total,Estadual,98.3,97.5,97.4
412,2013,Mato Grosso do Sul,Total,Municipal,90.5,91.3,96.7
413,2013,Mato Grosso do Sul,Total,Privada,72,85.6,94.6
414,2013,Mato Grosso do Sul,Total,Pública,90.5,93.7,97.5
415,2013,Mato Grosso do Sul,Urbana,Total,88.6,95.2,97.3
416,2013,Mato Grosso do Sul,Urbana,Federal,--,100,99.5
417,2013,Mato Grosso do Sul,Urbana,Estadual,98.3,97.7,97.9
418,2013,Mato Grosso do Sul,Urbana,Municipal,92.6,96.3,--
419,2013,Mato Grosso do Sul,Urbana,Privada,72.2,85.6,94.8
420,2013,Mato Grosso do Sul,Urbana,Pública,92.6,96.9,98
421,2013,Mato Grosso do Sul,Rural,Total,66,76.6,93.2
422,2013,Mato Grosso do Sul,Rural,Federal,--,--,100
423,2013,Mato Grosso do Sul,Rural,Estadual,--,95.2,92.5
424,2013,Mato Grosso do Sul,Rural,Municipal,66.4,72.2,96.7
425,2013,Mato Grosso do Sul,Rural,Privada,0,88.2,88.5
426,2013,Mato Grosso do Sul,Rural,Pública,66.4,76.5,93.3
427,2013,Mato Grosso,Total,Total,81.6,89.3,95.9
428,2013,Mato Grosso,Total,Federal,--,--,99.6
429,2013,Mato Grosso,Total,Estadual,100,94.5,96.2
430,2013,Mato Grosso,Total,Municipal,85.1,84.9,100
431,2013,Mato Grosso,Total,Privada,65.4,85.1,93.2
432,2013,Mato Grosso,Total,Pública,85.3,89.9,96.4
433,2013,Mato Grosso,Urbana,Total,83.7,95,97.5
434,2013,Mato Grosso,Urbana,Federal,--,--,99.7
435,2013,Mato Grosso,Urbana,Estadual,100,98.9,98.3
436,2013,Mato Grosso,Urbana,Municipal,88.2,94.4,--
437,2013,Mato Grosso,Urbana,Privada,65.6,85.1,93.5
438,2013,Mato Grosso,Urbana,Pública,88.3,96.9,98.3
439,2013,Mato Grosso,Rural,Total,58,66.8,88.9
440,2013,Mato Grosso,Rural,Federal,--,--,99.2
441,2013,Mato Grosso,Rural,Estadual,--,73.5,88.3
442,2013,Mato Grosso,Rural,Municipal,58.4,62.5,100
443,2013,Mato Grosso,Rural,Privada,33.3,73.3,77.3
444,2013,Mato Grosso,Rural,Pública,58.4,66.8,89
445,2013,Goiás,Total,Total,69.3,84.9,90
446,2013,Goiás,Total,Federal,76.5,96.7,99.2
447,2013,Goiás,Total,Estadual,90,87.5,90.6
448,2013,Goiás,Total,Municipal,76.9,88.4,89.2
449,2013,Goiás,Total,Privada,54.7,74.1,86.7
450,2013,Goiás,Total,Pública,76.9,88.1,91.1
451,2013,Goiás,Urbana,Total,69.6,85.9,90.4
452,2013,Goiás,Urbana,Federal,76.5,96.7,99.1
453,2013,Goiás,Urbana,Estadual,100,88.5,91.3
454,2013,Goiás,Urbana,Municipal,77.6,90.5,92.9
455,2013,Goiás,Urbana,Privada,54.7,74.1,86.7
456,2013,Goiás,Urbana,Pública,77.6,89.7,91.7
457,2013,Goiás,Rural,Total,60.1,71.1,79.9
458,2013,Goiás,Rural,Federal,--,--,99.4
