,year,region,location,adm,prim_0,sec_0
99,2013,Amapá,Urbana,Estadual,29.7,39.3
100,2013,Amapá,Urbana,Federal,--,17.4
101,2013,Amapá,Urbana,Municipal,20.2,--
102,2013,Amapá,Urbana,Privada,2.7,4.4
103,2013,Amapá,Urbana,Pública,26.1,38.7
104,2013,Tocantins,Total,Total,21,32
105,2013,Tocantins,Total,Estadual,25.3,34.1
106,2013,Tocantins,Total,Federal,--,15
107,2013,Tocantins,Total,Municipal,19.1,43.1
108,2013,Tocantins,Total,Privada,4.5,7.2
109,2013,Tocantins,Total,Pública,22.2,33.6
110,2013,Tocantins,Rural,Total,31,43.6
111,2013,Tocantins,Rural,Estadual,41.7,50.3
112,2013,Tocantins,Rural,Federal,--,20.9
113,2013,Tocantins,Rural,Municipal,27.5,43.1
114,2013,Tocantins,Rural,Privada,12.6,18.4
115,2013,Tocantins,Rural,Pública,31.3,45.3
116,2013,Tocantins,Urbana,Total,19.3,31.3
117,2013,Tocantins,Urbana,Estadual,23.8,33.3
118,2013,Tocantins,Urbana,Federal,--,12.6
119,2013,Tocantins,Urbana,Municipal,16.6,--
120,2013,Tocantins,Urbana,Privada,4.2,6.5
121,2013,Tocantins,Urbana,Pública,20.6,32.9
122,2013,Maranhão,Total,Total,26.4,40.6
123,2013,Maranhão,Total,Estadual,34,42.5
124,2013,Maranhão,Total,Federal,8.6,23.2
125,2013,Maranhão,Total,Municipal,27.9,63.1
126,2013,Maranhão,Total,Privada,6.4,18.4
127,2013,Maranhão,Total,Pública,28.3,42.4
128,2013,Maranhão,Rural,Total,32.4,51.2
129,2013,Maranhão,Rural,Estadual,67.9,52.1
130,2013,Maranhão,Rural,Federal,13.5,25.5
131,2013,Maranhão,Rural,Municipal,30.9,61.3
132,2013,Maranhão,Rural,Privada,17.8,44
133,2013,Maranhão,Rural,Pública,32.6,51.5
134,2013,Maranhão,Urbana,Total,22.5,38.8
135,2013,Maranhão,Urbana,Estadual,20.1,40.9
136,2013,Maranhão,Urbana,Federal,7.3,22.4
137,2013,Maranhão,Urbana,Municipal,25.6,64.6
138,2013,Maranhão,Urbana,Privada,5.7,16.3
139,2013,Maranhão,Urbana,Pública,25.1,40.8
140,2013,Piauí,Total,Total,31.4,44.9
141,2013,Piauí,Total,Estadual,37.8,50.4
142,2013,Piauí,Total,Federal,--,13.8
143,2013,Piauí,Total,Municipal,34.2,56.4
144,2013,Piauí,Total,Privada,8.2,12.7
145,2013,Piauí,Total,Pública,34.7,49.2
146,2013,Piauí,Rural,Total,38.7,57.2
147,2013,Piauí,Rural,Estadual,43,59.2
148,2013,Piauí,Rural,Federal,--,17.1
149,2013,Piauí,Rural,Municipal,38.7,50.4
150,2013,Piauí,Rural,Privada,24,46.8
151,2013,Piauí,Rural,Pública,38.7,57.7
152,2013,Piauí,Urbana,Total,28.4,44.2
153,2013,Piauí,Urbana,Estadual,37.7,49.9
154,2013,Piauí,Urbana,Federal,--,13.7
155,2013,Piauí,Urbana,Municipal,31.3,62
156,2013,Piauí,Urbana,Privada,8.1,12.1
157,2013,Piauí,Urbana,Pública,32.6,48.7
158,2013,Ceará,Total,Total,21.4,30.3
159,2013,Ceará,Total,Estadual,35.5,33.2
160,2013,Ceará,Total,Federal,13.2,34
161,2013,Ceará,Total,Municipal,23.9,--
162,2013,Ceará,Total,Privada,8,8
163,2013,Ceará,Total,Pública,24.6,33.2
164,2013,Ceará,Rural,Total,22.4,32.4
165,2013,Ceará,Rural,Estadual,39,32.6
166,2013,Ceará,Rural,Federal,--,23.8
167,2013,Ceará,Rural,Municipal,22.3,--
168,2013,Ceará,Rural,Privada,11.1,45.9
169,2013,Ceará,Rural,Pública,22.4,32.3
170,2013,Ceará,Urbana,Total,21.1,30.2
171,2013,Ceará,Urbana,Estadual,35.3,33.2
172,2013,Ceará,Urbana,Federal,13.2,35.6
173,2013,Ceará,Urbana,Municipal,24.6,--
174,2013,Ceará,Urbana,Privada,8,7.9
175,2013,Ceará,Urbana,Pública,25.5,33.2
176,2013,Rio Grande do Norte,Total,Total,29.1,43
177,2013,Rio Grande do Norte,Total,Estadual,39.6,50.6
178,2013,Rio Grande do Norte,Total,Federal,2.6,14.4
179,2013,Rio Grande do Norte,Total,Municipal,31.9,--
180,2013,Rio Grande do Norte,Total,Privada,6.6,8.1
181,2013,Rio Grande do Norte,Total,Pública,34.2,48.4
182,2013,Rio Grande do Norte,Rural,Total,31.6,45.1
183,2013,Rio Grande do Norte,Rural,Estadual,36.9,54
184,2013,Rio Grande do Norte,Rural,Federal,--,17.8
185,2013,Rio Grande do Norte,Rural,Municipal,31.2,--
186,2013,Rio Grande do Norte,Rural,Privada,12.3,17.5
187,2013,Rio Grande do Norte,Rural,Pública,31.7,45.4
188,2013,Rio Grande do Norte,Urbana,Total,28.6,42.9
189,2013,Rio Grande do Norte,Urbana,Estadual,39.8,50.5
190,2013,Rio Grande do Norte,Urbana,Federal,2.6,14.1
191,2013,Rio Grande do Norte,Urbana,Municipal,32.3,--
192,2013,Rio Grande do Norte,Urbana,Privada,6.6,8.1
193,2013,Rio Grande do Norte,Urbana,Pública,35,48.4
194,2013,Paraíba,Total,Total,29.5,35
195,2013,Paraíba,Total,Estadual,38.4,40.7
196,2013,Paraíba,Total,Federal,11.3,18.4
197,2013,Paraíba,Total,Municipal,32.9,56
198,2013,Paraíba,Total,Privada,6.6,7.9
199,2013,Paraíba,Total,Pública,34.5,40.2
200,2013,Paraíba,Rural,Total,32.3,44.7
201,2013,Paraíba,Rural,Estadual,39.4,47.4
202,2013,Paraíba,Rural,Federal,--,37.5
203,2013,Paraíba,Rural,Municipal,31.7,15.8
204,2013,Paraíba,Rural,Privada,11,--
205,2013,Paraíba,Rural,Pública,32.3,44.7
206,2013,Paraíba,Urbana,Total,29,34.8
207,2013,Paraíba,Urbana,Estadual,38.3,40.6
208,2013,Paraíba,Urbana,Federal,11.3,17
209,2013,Paraíba,Urbana,Municipal,33.3,58.7
210,2013,Paraíba,Urbana,Privada,6.6,7.9
211,2013,Paraíba,Urbana,Pública,35.1,40.1
212,2013,Pernambuco,Total,Total,25.8,36.4
213,2013,Pernambuco,Total,Estadual,35.8,40.1
214,2013,Pernambuco,Total,Federal,8.7,31.7
215,2013,Pernambuco,Total,Municipal,29.4,60.3
216,2013,Pernambuco,Total,Privada,7.3,8.9
217,2013,Pernambuco,Total,Pública,30.9,40.1
218,2013,Pernambuco,Rural,Total,29.5,44.4
219,2013,Pernambuco,Rural,Estadual,38,45.6
220,2013,Pernambuco,Rural,Federal,--,28.8
221,2013,Pernambuco,Rural,Municipal,28.9,58.1
222,2013,Pernambuco,Rural,Privada,19.9,11.8
223,2013,Pernambuco,Rural,Pública,29.6,44.5
224,2013,Pernambuco,Urbana,Total,24.9,35.9
225,2013,Pernambuco,Urbana,Estadual,35.6,39.8
226,2013,Pernambuco,Urbana,Federal,8.7,32.8
227,2013,Pernambuco,Urbana,Municipal,29.6,60.9
228,2013,Pernambuco,Urbana,Privada,7.2,8.9
229,2013,Pernambuco,Urbana,Pública,31.3,39.8
230,2013,Alagoas,Total,Total,33,42.1
231,2013,Alagoas,Total,Estadual,47,48
232,2013,Alagoas,Total,Federal,--,36.2
233,2013,Alagoas,Total,Municipal,35.2,49.4
234,2013,Alagoas,Total,Privada,7.3,10.4
235,2013,Alagoas,Total,Pública,37.1,47.4
236,2013,Alagoas,Rural,Total,32.1,43.7
237,2013,Alagoas,Rural,Estadual,36.5,43.7
238,2013,Alagoas,Rural,Municipal,32.1,--
239,2013,Alagoas,Rural,Privada,20.9,--
240,2013,Alagoas,Rural,Pública,32.2,43.7
241,2013,Alagoas,Urbana,Total,33.3,42
242,2013,Alagoas,Urbana,Estadual,47.6,48.2
243,2013,Alagoas,Urbana,Federal,--,36.2
244,2013,Alagoas,Urbana,Municipal,36.7,49.4
245,2013,Alagoas,Urbana,Privada,7.1,10.4
246,2013,Alagoas,Urbana,Pública,39,47.6
247,2013,Sergipe,Total,Total,34.6,43.6
248,2013,Sergipe,Total,Estadual,40.7,51.5
249,2013,Sergipe,Total,Federal,17.4,23.2
250,2013,Sergipe,Total,Municipal,40.5,--
251,2013,Sergipe,Total,Privada,8.4,10.1
252,2013,Sergipe,Total,Pública,40.6,50.7
253,2013,Sergipe,Rural,Total,39.8,48.8
254,2013,Sergipe,Rural,Estadual,38.6,53.3
255,2013,Sergipe,Rural,Federal,--,31.4
256,2013,Sergipe,Rural,Municipal,40.1,--
257,2013,Sergipe,Rural,Privada,12.5,--
258,2013,Sergipe,Rural,Pública,40,48.8
259,2013,Sergipe,Urbana,Total,32.8,43.3
260,2013,Sergipe,Urbana,Estadual,40.9,51.4
261,2013,Sergipe,Urbana,Federal,17.4,15.6
262,2013,Sergipe,Urbana,Municipal,40.8,--
263,2013,Sergipe,Urbana,Privada,8.4,10.1
264,2013,Sergipe,Urbana,Pública,40.8,50.8
265,2013,Bahia,Total,Total,33.8,44.7
266,2013,Bahia,Total,Estadual,46.4,48.4
267,2013,Bahia,Total,Federal,19.2,21.5
268,2013,Bahia,Total,Municipal,36.3,48.8
269,2013,Bahia,Total,Privada,7.4,9.9
270,2013,Bahia,Total,Pública,37.7,47.9
271,2013,Bahia,Rural,Total,37.5,46.7
272,2013,Bahia,Rural,Estadual,44.1,49.4
273,2013,Bahia,Rural,Federal,--,17.5
274,2013,Bahia,Rural,Municipal,37.5,50
275,2013,Bahia,Rural,Privada,11.6,29.1
276,2013,Bahia,Rural,Pública,37.6,47.7
277,2013,Bahia,Urbana,Total,32.4,44.6
278,2013,Bahia,Urbana,Estadual,46.4,48.4
279,2013,Bahia,Urbana,Federal,19.2,22.2
280,2013,Bahia,Urbana,Municipal,35.6,47.3
281,2013,Bahia,Urbana,Privada,7.3,9.3
282,2013,Bahia,Urbana,Pública,37.8,48
283,2013,Minas Gerais,Total,Total,15.9,27.7
284,2013,Minas Gerais,Total,Estadual,18.7,30.3
285,2013,Minas Gerais,Total,Federal,12.3,18.4
286,2013,Minas Gerais,Total,Municipal,15.8,25.2
287,2013,Minas Gerais,Total,Privada,4.3,8
288,2013,Minas Gerais,Total,Pública,17.2,30
289,2013,Minas Gerais,Rural,Total,18.8,29
290,2013,Minas Gerais,Rural,Estadual,22,32.7
291,2013,Minas Gerais,Rural,Federal,--,12.8
292,2013,Minas Gerais,Rural,Municipal,18,33.1
293,2013,Minas Gerais,Rural,Privada,21.6,32.5
294,2013,Minas Gerais,Rural,Pública,18.8,28.8
295,2013,Minas Gerais,Urbana,Total,15.6,27.7
296,2013,Minas Gerais,Urbana,Estadual,18.5,30.3
297,2013,Minas Gerais,Urbana,Federal,12.3,20
298,2013,Minas Gerais,Urbana,Municipal,15.4,24.4
299,2013,Minas Gerais,Urbana,Privada,4.3,7.8
300,2013,Minas Gerais,Urbana,Pública,17.1,30.1
301,2013,Espírito Santo,Total,Total,20.5,26.6
302,2013,Espírito Santo,Total,Estadual,24.1,30.6
303,2013,Espírito Santo,Total,Federal,--,9.2
304,2013,Espírito Santo,Total,Municipal,22.3,9.4
305,2013,Espírito Santo,Total,Privada,4,7.1
306,2013,Espírito Santo,Total,Pública,22.7,29.6
307,2013,Espírito Santo,Rural,Total,20,22.6
308,2013,Espírito Santo,Rural,Estadual,16.6,28.9
309,2013,Espírito Santo,Rural,Federal,--,11.3
310,2013,Espírito Santo,Rural,Municipal,20.5,9.4
311,2013,Espírito Santo,Rural,Privada,27.9,18
312,2013,Espírito Santo,Rural,Pública,20,23.8
313,2013,Espírito Santo,Urbana,Total,20.6,26.7
314,2013,Espírito Santo,Urbana,Estadual,24.7,30.7
315,2013,Espírito Santo,Urbana,Federal,--,8.8
316,2013,Espírito Santo,Urbana,Municipal,22.6,--
317,2013,Espírito Santo,Urbana,Privada,3.8,6.4
318,2013,Espírito Santo,Urbana,Pública,23.1,29.8
319,2013,Rio de Janeiro,Total,Total,26.3,32.6
320,2013,Rio de Janeiro,Total,Estadual,45.1,39.3
321,2013,Rio de Janeiro,Total,Federal,18.3,21.5
322,2013,Rio de Janeiro,Total,Municipal,30.8,30
323,2013,Rio de Janeiro,Total,Privada,9,12.1
324,2013,Rio de Janeiro,Total,Pública,33.2,38.6
325,2013,Rio de Janeiro,Rural,Total,36.6,36.8
326,2013,Rio de Janeiro,Rural,Estadual,47.5,38
327,2013,Rio de Janeiro,Rural,Federal,--,24.9
328,2013,Rio de Janeiro,Rural,Municipal,36.8,71.4
329,2013,Rio de Janeiro,Rural,Privada,10.2,12.1
330,2013,Rio de Janeiro,Rural,Pública,38,37.9
331,2013,Rio de Janeiro,Urbana,Total,25.7,32.5
332,2013,Rio de Janeiro,Urbana,Estadual,44.9,39.3
333,2013,Rio de Janeiro,Urbana,Federal,18.3,21.5
334,2013,Rio de Janeiro,Urbana,Municipal,30.3,29.7
335,2013,Rio de Janeiro,Urbana,Privada,9,12.1
336,2013,Rio de Janeiro,Urbana,Pública,32.8,38.6
337,2013,São Paulo,Total,Total,7.6,15.3
338,2013,São Paulo,Total,Estadual,9,17.2
339,2013,São Paulo,Total,Federal,1.6,6.6
340,2013,São Paulo,Total,Municipal,8.1,13.3
341,2013,São Paulo,Total,Privada,2.8,4.6
342,2013,São Paulo,Total,Pública,8.6,17.1
343,2013,São Paulo,Rural,Total,10.8,13.6
344,2013,São Paulo,Rural,Estadual,13.8,13.5
345,2013,São Paulo,Rural,Federal,--,--
346,2013,São Paulo,Rural,Municipal,9.5,31.9
347,2013,São Paulo,Rural,Privada,6.9,8.3
348,2013,São Paulo,Rural,Pública,11,13.8
349,2013,São Paulo,Urbana,Total,7.5,15.3
350,2013,São Paulo,Urbana,Estadual,9,17.2
351,2013,São Paulo,Urbana,Federal,1.6,6.6
352,2013,São Paulo,Urbana,Municipal,8.1,13
353,2013,São Paulo,Urbana,Privada,2.8,4.6
354,2013,São Paulo,Urbana,Pública,8.5,17.2
355,2013,Paraná,Total,Total,13,21.6
356,2013,Paraná,Total,Estadual,21.5,24.5
357,2013,Paraná,Total,Federal,9.7,6.9
358,2013,Paraná,Total,Municipal,8.6,--
359,2013,Paraná,Total,Privada,1.9,4
360,2013,Paraná,Total,Pública,14.6,24.3
361,2013,Paraná,Rural,Total,15.1,21.6
362,2013,Paraná,Rural,Estadual,22.8,22
363,2013,Paraná,Rural,Federal,--,--
364,2013,Paraná,Rural,Municipal,10.1,--
365,2013,Paraná,Rural,Privada,7,9.1
366,2013,Paraná,Rural,Pública,15.2,22
367,2013,Paraná,Urbana,Total,12.9,21.6
368,2013,Paraná,Urbana,Estadual,21.4,24.6
369,2013,Paraná,Urbana,Federal,9.7,6.9
370,2013,Paraná,Urbana,Municipal,8.5,--
371,2013,Paraná,Urbana,Privada,1.9,3.9
372,2013,Paraná,Urbana,Pública,14.5,24.4
373,2013,Santa Catarina,Total,Total,11.8,16.4
374,2013,Santa Catarina,Total,Estadual,13.8,18.6
375,2013,Santa Catarina,Total,Federal,5.8,7.1
376,2013,Santa Catarina,Total,Municipal,12.4,11.7
377,2013,Santa Catarina,Total,Privada,2.5,3.4
378,2013,Santa Catarina,Total,Pública,12.9,18.4
379,2013,Santa Catarina,Rural,Total,12.1,15.9
380,2013,Santa Catarina,Rural,Estadual,13.2,17.1
381,2013,Santa Catarina,Rural,Federal,--,8.3
382,2013,Santa Catarina,Rural,Municipal,11.6,16.4
383,2013,Santa Catarina,Rural,Privada,--,15.3
384,2013,Santa Catarina,Rural,Pública,12.1,15.9
385,2013,Santa Catarina,Urbana,Total,11.7,16.4
386,2013,Santa Catarina,Urbana,Estadual,13.9,18.7
387,2013,Santa Catarina,Urbana,Federal,5.8,6.7
388,2013,Santa Catarina,Urbana,Municipal,12.5,10
389,2013,Santa Catarina,Urbana,Privada,2.5,3.4
390,2013,Santa Catarina,Urbana,Pública,13,18.5
391,2013,Rio Grande do Sul,Total,Total,22.2,28.2
392,2013,Rio Grande do Sul,Total,Estadual,25.5,31.3
393,2013,Rio Grande do Sul,Total,Federal,13.6,19.2
394,2013,Rio Grande do Sul,Total,Municipal,23.2,46.9
395,2013,Rio Grande do Sul,Total,Privada,4.4,4.9
396,2013,Rio Grande do Sul,Total,Pública,24.3,31.2
397,2013,Rio Grande do Sul,Rural,Total,23.9,27.8
398,2013,Rio Grande do Sul,Rural,Estadual,27,30.5
399,2013,Rio Grande do Sul,Rural,Federal,--,17.2
400,2013,Rio Grande do Sul,Rural,Municipal,22.5,35.2
401,2013,Rio Grande do Sul,Rural,Privada,14.3,14.5
402,2013,Rio Grande do Sul,Rural,Pública,23.9,28.2
403,2013,Rio Grande do Sul,Urbana,Total,22,28.2
404,2013,Rio Grande do Sul,Urbana,Estadual,25.3,31.3
405,2013,Rio Grande do Sul,Urbana,Federal,13.6,19.9
406,2013,Rio Grande do Sul,Urbana,Municipal,23.4,47.8
407,2013,Rio Grande do Sul,Urbana,Privada,4.3,4.9
408,2013,Rio Grande do Sul,Urbana,Pública,24.3,31.3
409,2013,Mato Grosso do Sul,Total,Total,25.7,31.8
410,2013,Mato Grosso do Sul,Total,Estadual,33.5,35.1
411,2013,Mato Grosso do Sul,Total,Federal,4.1,11.8
412,2013,Mato Grosso do Sul,Total,Municipal,24.8,25.9
413,2013,Mato Grosso do Sul,Total,Privada,3,5.7
414,2013,Mato Grosso do Sul,Total,Pública,28.1,35
415,2013,Mato Grosso do Sul,Rural,Total,34.7,40.7
416,2013,Mato Grosso do Sul,Rural,Estadual,33,43.1
417,2013,Mato Grosso do Sul,Rural,Federal,--,--
418,2013,Mato Grosso do Sul,Rural,Municipal,35.5,25.9
419,2013,Mato Grosso do Sul,Rural,Privada,8.3,19
420,2013,Mato Grosso do Sul,Rural,Pública,35.1,42.7
421,2013,Mato Grosso do Sul,Urbana,Total,24.5,31.2
422,2013,Mato Grosso do Sul,Urbana,Estadual,33.6,34.6
423,2013,Mato Grosso do Sul,Urbana,Federal,4.1,11.8
424,2013,Mato Grosso do Sul,Urbana,Municipal,22.7,--
425,2013,Mato Grosso do Sul,Urbana,Privada,2.9,5.1
426,2013,Mato Grosso do Sul,Urbana,Pública,27.1,34.5
427,2013,Mato Grosso,Total,Total,10.1,31.9
428,2013,Mato Grosso,Total,Estadual,9.1,34.8
429,2013,Mato Grosso,Total,Federal,--,14.8
430,2013,Mato Grosso,Total,Municipal,12.5,14.4
431,2013,Mato Grosso,Total,Privada,2.7,4
432,2013,Mato Grosso,Total,Pública,10.9,34.3
433,2013,Mato Grosso,Rural,Total,20.6,43.7
434,2013,Mato Grosso,Rural,Estadual,21.9,46
435,2013,Mato Grosso,Rural,Federal,--,18.9
436,2013,Mato Grosso,Rural,Municipal,20,14.4
437,2013,Mato Grosso,Rural,Privada,3.9,12.9
438,2013,Mato Grosso,Rural,Pública,20.6,43.8
439,2013,Mato Grosso,Urbana,Total,8.2,30.7
440,2013,Mato Grosso,Urbana,Estadual,7.5,33.7
441,2013,Mato Grosso,Urbana,Federal,--,13.1
442,2013,Mato Grosso,Urbana,Municipal,10.4,--
443,2013,Mato Grosso,Urbana,Privada,2.7,3.9
444,2013,Mato Grosso,Urbana,Pública,8.9,33.3
445,2013,Goiás,Total,Total,18.5,27.2
446,2013,Goiás,Total,Estadual,28.6,31.2
447,2013,Goiás,Total,Federal,19.8,13.3
448,2013,Goiás,Total,Municipal,17.8,17.9
449,2013,Goiás,Total,Privada,5.2,7.2
450,2013,Goiás,Total,Pública,21.5,30.8
451,2013,Goiás,Rural,Total,26,28.5
452,2013,Goiás,Rural,Estadual,31.7,35.3
453,2013,Goiás,Rural,Federal,--,13.8
454,2013,Goiás,Rural,Municipal,25.4,38.5
455,2013,Goiás,Rural,Privada,8.9,24.5
456,2013,Goiás,Rural,Pública,26.3,28.9
457,2013,Goiás,Urbana,Total,18.1,27.2
458,2013,Goiás,Urbana,Estadual,28.6,31.2
459,2013,Goiás,Urbana,Federal,19.8,13
460,2013,Goiás,Urbana,Municipal,17.2,11.6
461,2013,Goiás,Urbana,Privada,5.2,7
462,2013,Goiás,Urbana,Pública,21.2,30.9
463,2013,Distrito Federal,Total,Total,17.8,26.7
464,2013,Distrito Federal,Total,Estadual,22.7,34.1
465,2013,Distrito Federal,Total,Federal,7.7,13.2
466,2013,Distrito Federal,Total,Privada,4,7.2
467,2013,Distrito Federal,Total,Pública,22.7,33.7
468,2013,Distrito Federal,Rural,Total,26.4,35
469,2013,Distrito Federal,Rural,Estadual,26,33.5
470,2013,Distrito Federal,Rural,Federal,--,33.3
471,2013,Distrito Federal,Rural,Privada,37.5,48.5
472,2013,Distrito Federal,Rural,Pública,26,33.5
473,2013,Distrito Federal,Urbana,Total,17.5,26.6
474,2013,Distrito Federal,Urbana,Estadual,22.6,34.1
475,2013,Distrito Federal,Urbana,Federal,7.7,10.6
476,2013,Distrito Federal,Urbana,Privada,3.8,6.9
477,2013,Distrito Federal,Urbana,Pública,22.5,33.7
0,2014,Rondônia,Total,Total,25,29.9
1,2014,Rondônia,Total,Estadual,30.5,32.6
2,2014,Rondônia,Total,Federal,--,14.1
3,2014,Rondônia,Total,Municipal,22.7,--
4,2014,Rondônia,Total,Privada,4.9,9.1
5,2014,Rondônia,Total,Pública,26.5,31.6
6,2014,Rondônia,Rural,Total,29.8,34.1
7,2014,Rondônia,Rural,Estadual,39.2,43.8
8,2014,Rondônia,Rural,Federal,--,15.4
9,2014,Rondônia,Rural,Municipal,27.9,--
10,2014,Rondônia,Rural,Privada,20.5,18.6
11,2014,Rondônia,Rural,Pública,29.8,37.3
12,2014,Rondônia,Urbana,Total,23.6,29.5
13,2014,Rondônia,Urbana,Estadual,29.7,31.9
14,2014,Rondônia,Urbana,Federal,--,13.5
15,2014,Rondônia,Urbana,Municipal,19.1,--
16,2014,Rondônia,Urbana,Privada,4.5,7.1
17,2014,Rondônia,Urbana,Pública,25.5,31.2
18,2014,Acre,Total,Total,27.3,32.8
19,2014,Acre,Total,Estadual,25.6,34.4
20,2014,Acre,Total,Federal,12.6,18
21,2014,Acre,Total,Municipal,32.6,--
22,2014,Acre,Total,Privada,2.8,4.9
23,2014,Acre,Total,Pública,28.3,34.2
24,2014,Acre,Rural,Total,44.2,46.7
25,2014,Acre,Rural,Estadual,44.6,46.7
26,2014,Acre,Rural,Municipal,43.8,--
27,2014,Acre,Rural,Pública,44.2,46.7
28,2014,Acre,Urbana,Total,18.7,30.5
29,2014,Acre,Urbana,Estadual,18.7,32.3
30,2014,Acre,Urbana,Federal,12.6,18
31,2014,Acre,Urbana,Municipal,22.3,--
32,2014,Acre,Urbana,Privada,2.8,4.9
33,2014,Acre,Urbana,Pública,19.8,32
34,2014,Amazonas,Total,Total,30.1,45.3
35,2014,Amazonas,Total,Estadual,26.9,48
36,2014,Amazonas,Total,Federal,10.8,21.8
