,year,region,location,adm,prim_1,sec_1,prim_2,sec_2,prim_3,sec_3
41,2013,Amazonas,Rural,Pública,82.8,83.6,10.2,5.6,7,10.8
42,2013,Amazonas,Rural,Privada,96.3,91.4,3.7,8.6,0,0
43,2013,Amazonas,Rural,Municipal,82.2,--,10.6,--,7.2,--
44,2013,Amazonas,Rural,Estadual,88.6,83.6,5.5,5.6,5.9,10.8
45,2013,Amazonas,Urbana,Total,87.6,80.8,8.2,7.3,4.2,11.9
46,2013,Amazonas,Urbana,Pública,86.6,80.1,8.7,7.3,4.7,12.6
47,2013,Amazonas,Urbana,Privada,96.7,92.5,3,7.1,0.3,0.4
48,2013,Amazonas,Urbana,Municipal,84.7,--,10.7,--,4.6,--
49,2013,Amazonas,Urbana,Federal,87.3,86.4,12.7,11.6,0,2
50,2013,Amazonas,Urbana,Estadual,88.6,79.9,6.7,7.2,4.7,12.9
51,2013,Roraima,Total,Total,89.3,76.5,8,15.1,2.7,8.4
52,2013,Roraima,Total,Pública,88.8,75.3,8.4,15.7,2.8,9
53,2013,Roraima,Total,Privada,97.9,95.3,2,4.6,0.1,0.1
54,2013,Roraima,Total,Municipal,93.8,100,5.2,0,1,0
55,2013,Roraima,Total,Federal,94.2,87.1,5.8,11,0,1.9
56,2013,Roraima,Total,Estadual,84.7,74.4,10.9,16.1,4.4,9.5
57,2013,Roraima,Rural,Total,88,83.2,8.1,5.9,3.9,10.9
58,2013,Roraima,Rural,Pública,88,83.2,8.1,5.9,3.9,10.9
59,2013,Roraima,Rural,Municipal,89.9,100,7.8,0,2.3,0
60,2013,Roraima,Rural,Federal,--,86.4,--,13.3,--,0.3
61,2013,Roraima,Rural,Estadual,87.1,82.7,8.3,5.1,4.6,12.2
62,2013,Roraima,Urbana,Total,89.8,75.2,7.9,16.9,2.3,7.9
63,2013,Roraima,Urbana,Pública,89,73.5,8.5,17.9,2.5,8.6
64,2013,Roraima,Urbana,Privada,97.9,95.3,2,4.6,0.1,0.1
65,2013,Roraima,Urbana,Municipal,94.8,--,4.5,--,0.7,--
66,2013,Roraima,Urbana,Federal,94.2,87.4,5.8,10.1,0,2.5
67,2013,Roraima,Urbana,Estadual,83.5,72.6,12.3,18.4,4.2,9
68,2013,Pará,Total,Total,83.5,70.7,12,12.7,4.5,16.6
69,2013,Pará,Total,Pública,82.4,68.2,12.8,13.6,4.8,18.2
70,2013,Pará,Total,Privada,96.5,94.9,3,4.1,0.5,1
71,2013,Pará,Total,Municipal,83.8,70.2,11.6,29.2,4.6,0.6
72,2013,Pará,Total,Federal,89.3,81.3,10.6,12.1,0.1,6.6
73,2013,Pará,Total,Estadual,74.9,68,18.7,13.6,6.4,18.4
74,2013,Pará,Rural,Total,82.1,72.9,12.1,9.8,5.8,17.3
75,2013,Pará,Rural,Pública,82.1,72.5,12.1,9.9,5.8,17.6
76,2013,Pará,Rural,Privada,86.4,86,11,3.7,2.6,10.3
77,2013,Pará,Rural,Municipal,82.4,98.2,11.9,0,5.7,1.8
78,2013,Pará,Rural,Federal,--,80.6,--,19.4,--,0
79,2013,Pará,Rural,Estadual,77.5,72.5,15.8,9.9,6.7,17.6
80,2013,Pará,Urbana,Total,84.2,70.5,12,12.9,3.8,16.6
81,2013,Pará,Urbana,Pública,82.5,67.7,13.2,13.9,4.3,18.4
82,2013,Pará,Urbana,Privada,96.6,95.1,2.9,4.1,0.5,0.8
83,2013,Pará,Urbana,Municipal,84.8,56.5,11.5,43.5,3.7,0
84,2013,Pará,Urbana,Federal,89.3,81.3,10.6,11.8,0.1,6.9
85,2013,Pará,Urbana,Estadual,74.5,67.6,19.1,13.9,6.4,18.5
86,2013,Amapá,Total,Total,86.4,73,10.5,12.7,3.1,14.3
87,2013,Amapá,Total,Pública,85.5,70.8,11.3,13.7,3.2,15.5
88,2013,Amapá,Total,Privada,97.9,97.2,1.7,1.7,0.4,1.1
89,2013,Amapá,Total,Municipal,89.4,--,8.6,--,2,--
90,2013,Amapá,Total,Federal,--,83.1,--,15.8,--,1.1
91,2013,Amapá,Total,Estadual,83.3,70.5,12.7,13.6,4,15.9
92,2013,Amapá,Rural,Total,85,77.3,10.9,7.4,4.1,15.3
93,2013,Amapá,Rural,Pública,85,76.6,10.9,7.7,4.1,15.7
94,2013,Amapá,Rural,Privada,80.4,86.7,12.4,3,7.2,10.3
95,2013,Amapá,Rural,Municipal,88.5,--,9.3,--,2.2,--
96,2013,Amapá,Rural,Estadual,83.6,76.6,11.6,7.7,4.8,15.7
97,2013,Amapá,Urbana,Total,86.8,72.5,10.4,13.2,2.8,14.3
98,2013,Amapá,Urbana,Pública,85.6,70.2,11.3,14.3,3.1,15.5
99,2013,Amapá,Urbana,Privada,98.2,98.1,1.5,1.6,0.3,0.3
100,2013,Amapá,Urbana,Municipal,89.6,--,8.5,--,1.9,--
101,2013,Amapá,Urbana,Federal,--,83.1,--,15.8,--,1.1
102,2013,Amapá,Urbana,Estadual,83.2,69.8,13.1,14.2,3.7,16
103,2013,Tocantins,Total,Total,90.2,79.6,8.3,13.5,1.5,6.9
104,2013,Tocantins,Total,Pública,89.7,78.8,8.7,13.9,1.6,7.3
105,2013,Tocantins,Total,Privada,97.1,92.2,2.8,7.4,0.1,0.4
106,2013,Tocantins,Total,Municipal,93.1,89.9,5.8,6.1,1.1,4
107,2013,Tocantins,Total,Federal,--,76.5,--,20.3,--,3.2
108,2013,Tocantins,Total,Estadual,86.4,78.8,11.5,13.7,2.1,7.5
109,2013,Tocantins,Rural,Total,88.9,85.3,7.8,8.5,3.3,6.2
110,2013,Tocantins,Rural,Pública,88.8,84.4,7.9,9.1,3.3,6.5
111,2013,Tocantins,Rural,Privada,98.4,99.6,1.4,0.4,0.2,0
112,2013,Tocantins,Rural,Municipal,91.3,89.9,6.9,6.1,1.8,4
113,2013,Tocantins,Rural,Federal,--,86.4,--,12.6,--,1
114,2013,Tocantins,Rural,Estadual,82,83.8,10.5,8.5,7.5,7.7
115,2013,Tocantins,Urbana,Total,90.4,79.2,8.4,13.8,1.2,7
116,2013,Tocantins,Urbana,Pública,89.8,78.4,8.9,14.2,1.3,7.4
117,2013,Tocantins,Urbana,Privada,97,91.7,2.9,7.9,0.1,0.4
118,2013,Tocantins,Urbana,Municipal,93.6,--,5.5,--,0.9,--
119,2013,Tocantins,Urbana,Federal,--,72.2,--,23.7,--,4.1
120,2013,Tocantins,Urbana,Estadual,86.8,78.6,11.6,14,1.6,7.4
121,2013,Maranhão,Total,Total,88.2,77.4,8.5,11.7,3.3,10.9
122,2013,Maranhão,Total,Pública,87.5,76.2,9,12.3,3.5,11.5
123,2013,Maranhão,Total,Privada,96.5,92.4,3,5.1,0.5,2.5
124,2013,Maranhão,Total,Municipal,87.5,77.1,8.9,3.6,3.6,19.3
125,2013,Maranhão,Total,Federal,90.3,88.5,9.5,7.9,0.2,3.6
126,2013,Maranhão,Total,Estadual,86.5,75.8,9.8,12.5,3.7,11.7
127,2013,Maranhão,Rural,Total,88,78.6,8.3,8.8,3.7,12.6
128,2013,Maranhão,Rural,Pública,87.9,78.3,8.4,9,3.7,12.7
129,2013,Maranhão,Rural,Privada,94.4,84.1,3.6,4.2,2,11.7
130,2013,Maranhão,Rural,Municipal,88,80.8,8.4,3.3,3.6,15.9
131,2013,Maranhão,Rural,Federal,93.9,89.3,5.1,6.1,1,4.6
132,2013,Maranhão,Rural,Estadual,84.9,77.7,8.6,9.3,6.5,13
133,2013,Maranhão,Urbana,Total,88.4,77.2,8.6,12.2,3,10.6
134,2013,Maranhão,Urbana,Pública,87.1,75.8,9.4,12.8,3.5,11.4
135,2013,Maranhão,Urbana,Privada,96.6,93.1,3,5.2,0.4,1.7
136,2013,Maranhão,Urbana,Municipal,87.1,74.3,9.4,3.9,3.5,21.8
137,2013,Maranhão,Urbana,Federal,89.3,88.3,10.7,8.5,0,3.2
138,2013,Maranhão,Urbana,Estadual,87.1,75.5,10.3,13,2.6,11.5
139,2013,Piauí,Total,Total,85.2,77.3,12,9.3,2.8,13.4
140,2013,Piauí,Total,Pública,83.8,75.2,13,9.7,3.2,15.1
141,2013,Piauí,Total,Privada,95.1,93,4.6,6.2,0.3,0.8
142,2013,Piauí,Total,Municipal,84.6,78.1,12.5,5.5,2.9,16.4
143,2013,Piauí,Total,Federal,--,80.9,--,16.5,--,2.6
144,2013,Piauí,Total,Estadual,79,75,16.3,9.5,4.7,15.5
145,2013,Piauí,Rural,Total,85,77.6,11.7,5.9,3.3,16.5
146,2013,Piauí,Rural,Pública,85,76.9,11.7,6.2,3.3,16.9
147,2013,Piauí,Rural,Privada,93.6,94.8,5.9,0.6,0.5,4.6
148,2013,Piauí,Rural,Municipal,85.1,81.5,11.7,3.3,3.2,15.2
149,2013,Piauí,Rural,Federal,--,92.1,--,3.7,--,4.2
150,2013,Piauí,Rural,Estadual,73.2,76.2,19,6.4,7.8,17.4
151,2013,Piauí,Urbana,Total,85.3,77.3,12.1,9.5,2.6,13.2
152,2013,Piauí,Urbana,Pública,83.2,75.1,13.6,10,3.2,14.9
153,2013,Piauí,Urbana,Privada,95.1,92.9,4.6,6.3,0.3,0.8
154,2013,Piauí,Urbana,Municipal,84.2,74.8,13,7.6,2.8,17.6
155,2013,Piauí,Urbana,Federal,--,80.4,--,17,--,2.6
156,2013,Piauí,Urbana,Estadual,79,74.9,16.3,9.7,4.7,15.4
157,2013,Ceará,Total,Total,92,84.6,6.1,6.9,1.9,8.5
158,2013,Ceará,Total,Pública,90.9,83.2,6.7,7.2,2.4,9.6
159,2013,Ceará,Total,Privada,96.3,95,3.4,4.6,0.3,0.4
160,2013,Ceará,Total,Municipal,91.4,--,6.5,--,2.1,--
161,2013,Ceará,Total,Federal,91,84,9,11.1,0,4.9
162,2013,Ceará,Total,Estadual,84,83.2,10.4,7.2,5.6,9.6
163,2013,Ceará,Rural,Total,93.4,83.6,5,7.3,1.6,9.1
164,2013,Ceará,Rural,Pública,93.4,83.5,5,7.4,1.6,9.1
165,2013,Ceará,Rural,Privada,97.3,95.9,2.4,3.1,0.3,1
166,2013,Ceará,Rural,Municipal,93.5,--,5,--,1.5,--
167,2013,Ceará,Rural,Federal,--,80.3,--,12.5,--,7.2
168,2013,Ceará,Rural,Estadual,85.6,83.7,9.4,7.2,5,9.1
169,2013,Ceará,Urbana,Total,91.6,84.6,6.4,6.9,2,8.5
170,2013,Ceará,Urbana,Pública,90,83.2,7.4,7.2,2.6,9.6
171,2013,Ceará,Urbana,Privada,96.3,95,3.4,4.6,0.3,0.4
172,2013,Ceará,Urbana,Municipal,90.5,--,7.1,--,2.4,--
173,2013,Ceará,Urbana,Federal,91,84.5,9,10.9,0,4.6
174,2013,Ceará,Urbana,Estadual,83.9,83.2,10.5,7.2,5.6,9.6
175,2013,Rio Grande do Norte,Total,Total,82,74.2,14,11.2,4,14.6
176,2013,Rio Grande do Norte,Total,Pública,78.8,71.5,16.3,11.9,4.9,16.6
177,2013,Rio Grande do Norte,Total,Privada,95.9,92.3,3.8,7.1,0.3,0.6
178,2013,Rio Grande do Norte,Total,Municipal,80.2,--,15.5,--,4.3,--
179,2013,Rio Grande do Norte,Total,Federal,100,85.5,0,12.9,0,1.6
180,2013,Rio Grande do Norte,Total,Estadual,75.6,70.6,18.3,11.8,6.1,17.6
181,2013,Rio Grande do Norte,Rural,Total,81.3,78,14.6,7.5,4.1,14.5
182,2013,Rio Grande do Norte,Rural,Pública,81.2,77.8,14.7,7.6,4.1,14.6
183,2013,Rio Grande do Norte,Rural,Privada,94.7,97.5,4.1,0,1.2,2.5
184,2013,Rio Grande do Norte,Rural,Municipal,81.5,--,14.6,--,3.9,--
185,2013,Rio Grande do Norte,Rural,Federal,--,87.9,--,10.8,--,1.3
186,2013,Rio Grande do Norte,Rural,Estadual,78.3,74.9,16.4,6.7,5.3,18.4
187,2013,Rio Grande do Norte,Urbana,Total,82.1,74.2,13.8,11.3,4.1,14.5
188,2013,Rio Grande do Norte,Urbana,Pública,78.1,71.4,16.8,12,5.1,16.6
189,2013,Rio Grande do Norte,Urbana,Privada,95.9,92.3,3.8,7.1,0.3,0.6
190,2013,Rio Grande do Norte,Urbana,Municipal,79.6,--,15.8,--,4.6,--
191,2013,Rio Grande do Norte,Urbana,Federal,100,85.3,0,13.1,0,1.6
192,2013,Rio Grande do Norte,Urbana,Estadual,75.4,70.5,18.5,11.9,6.1,17.6
193,2013,Paraíba,Total,Total,84.2,78.3,10.8,9,5,12.7
194,2013,Paraíba,Total,Pública,81.6,75.3,12.5,9.8,5.9,14.9
195,2013,Paraíba,Total,Privada,96.5,94,3.1,4.8,0.4,1.2
196,2013,Paraíba,Total,Municipal,83.1,76.2,11.9,6.3,5,17.5
197,2013,Paraíba,Total,Federal,93.2,85.4,6.8,10,0,4.6
198,2013,Paraíba,Total,Estadual,77.9,74.9,13.9,9.8,8.2,15.3
199,2013,Paraíba,Rural,Total,85.5,78.3,10.4,8.8,4.1,12.9
200,2013,Paraíba,Rural,Pública,85.5,78.3,10.5,8.8,4,12.9
201,2013,Paraíba,Rural,Privada,93.9,--,4.7,--,1.4,--
202,2013,Paraíba,Rural,Municipal,85.8,86,10.4,10,3.8,4
203,2013,Paraíba,Rural,Federal,--,100,--,0,--,0
204,2013,Paraíba,Rural,Estadual,82.1,74.9,11.4,9.9,6.5,15.2
205,2013,Paraíba,Urbana,Total,84,78.3,10.9,9,5.1,12.7
206,2013,Paraíba,Urbana,Pública,80.5,75.2,13,9.8,6.5,15
207,2013,Paraíba,Urbana,Privada,96.5,94,3.1,4.8,0.4,1.2
208,2013,Paraíba,Urbana,Municipal,82.1,75.5,12.5,6.1,5.4,18.4
209,2013,Paraíba,Urbana,Federal,93.2,84.4,6.8,10.7,0,4.9
210,2013,Paraíba,Urbana,Estadual,77.7,74.9,14,9.8,8.3,15.3
211,2013,Pernambuco,Total,Total,86.1,85.1,10.9,10.2,3,4.7
212,2013,Pernambuco,Total,Pública,83.4,83.7,12.9,10.9,3.7,5.4
213,2013,Pernambuco,Total,Privada,95.9,94.3,3.7,5,0.4,0.7
214,2013,Pernambuco,Total,Municipal,83.9,74.7,12.3,5.2,3.8,20.1
215,2013,Pernambuco,Total,Federal,97.1,76.2,2.9,18.2,0,5.6
216,2013,Pernambuco,Total,Estadual,81.8,84,14.7,10.8,3.5,5.2
217,2013,Pernambuco,Rural,Total,85.8,84.4,11.2,8.2,3,7.4
218,2013,Pernambuco,Rural,Pública,85.7,84.4,11.2,8.2,3.1,7.4
219,2013,Pernambuco,Rural,Privada,91.3,90,8.1,8.6,0.6,1.4
220,2013,Pernambuco,Rural,Municipal,86.1,88.4,10.9,4.1,3,7.5
221,2013,Pernambuco,Rural,Federal,--,79,--,11.6,--,9.4
222,2013,Pernambuco,Rural,Estadual,80.7,84.8,15.2,7.9,4.1,7.3
223,2013,Pernambuco,Urbana,Total,86.2,85.1,10.8,10.3,3,4.6
224,2013,Pernambuco,Urbana,Pública,82.7,83.7,13.4,11,3.9,5.3
225,2013,Pernambuco,Urbana,Privada,95.9,94.3,3.7,5,0.4,0.7
226,2013,Pernambuco,Urbana,Municipal,83,71.1,12.9,5.5,4.1,23.4
227,2013,Pernambuco,Urbana,Federal,97.1,75.3,2.9,20.4,0,4.3
228,2013,Pernambuco,Urbana,Estadual,81.9,83.9,14.7,10.9,3.4,5.2
229,2013,Alagoas,Total,Total,80,74.2,13.6,10.9,6.4,14.9
230,2013,Alagoas,Total,Pública,77.5,71,15.2,11.7,7.3,17.3
231,2013,Alagoas,Total,Privada,96.1,93,3.4,5.9,0.5,1.1
232,2013,Alagoas,Total,Municipal,79,97.5,14.7,1.9,6.3,0.6
233,2013,Alagoas,Total,Federal,--,76.8,--,18.2,--,5
234,2013,Alagoas,Total,Estadual,69.6,70.6,18.1,11.4,12.3,18
235,2013,Alagoas,Rural,Total,81.9,76.2,13.8,9.3,4.3,14.5
236,2013,Alagoas,Rural,Pública,81.9,76.2,13.8,9.3,4.3,14.5
237,2013,Alagoas,Rural,Privada,88.9,--,10.5,--,0.6,--
238,2013,Alagoas,Rural,Municipal,82,--,13.7,--,4.3,--
239,2013,Alagoas,Rural,Estadual,76.6,76.2,17.9,9.3,5.5,14.5
240,2013,Alagoas,Urbana,Total,79.4,74.1,13.6,11,7,14.9
241,2013,Alagoas,Urbana,Pública,75.8,70.7,15.8,11.9,8.4,17.4
242,2013,Alagoas,Urbana,Privada,96.2,93,3.3,5.9,0.5,1.1
243,2013,Alagoas,Urbana,Municipal,77.6,97.5,15.2,1.9,7.2,0.6
244,2013,Alagoas,Urbana,Federal,--,76.8,--,18.2,--,5
245,2013,Alagoas,Urbana,Estadual,69.2,70.3,18.1,11.5,12.7,18.2
246,2013,Sergipe,Total,Total,78.7,72.9,17,14.2,4.3,12.9
247,2013,Sergipe,Total,Pública,74.9,69,19.9,15.6,5.2,15.4
248,2013,Sergipe,Total,Privada,95.3,91.8,4.4,7.5,0.3,0.7
249,2013,Sergipe,Total,Municipal,76.7,--,18.5,--,4.8,--
250,2013,Sergipe,Total,Federal,68.9,84.6,29.4,11.5,1.7,3.9
251,2013,Sergipe,Total,Estadual,71,68.6,23,15.7,6,15.7
252,2013,Sergipe,Rural,Total,79.5,79.1,16.2,6.9,4.3,14
253,2013,Sergipe,Rural,Pública,79.4,79.1,16.3,6.9,4.3,14
254,2013,Sergipe,Rural,Privada,93.7,--,6,--,0.3,--
255,2013,Sergipe,Rural,Municipal,79.5,--,16.2,--,4.3,--
256,2013,Sergipe,Rural,Federal,--,85.4,--,8.4,--,6.2
257,2013,Sergipe,Rural,Estadual,78.6,77.4,17,6.5,4.4,16.1
258,2013,Sergipe,Urbana,Total,78.5,72.6,17.3,14.6,4.2,12.8
259,2013,Sergipe,Urbana,Pública,72.9,68.3,21.6,16.2,5.5,15.5
260,2013,Sergipe,Urbana,Privada,95.3,91.8,4.4,7.5,0.3,0.7
261,2013,Sergipe,Urbana,Municipal,74.5,--,20.3,--,5.2,--
262,2013,Sergipe,Urbana,Federal,68.9,83.7,29.4,14.5,1.7,1.8
263,2013,Sergipe,Urbana,Estadual,70.6,68.1,23.3,16.2,6.1,15.7
264,2013,Bahia,Total,Total,81.7,77.1,13.9,14.3,4.4,8.6
265,2013,Bahia,Total,Pública,79.8,75.8,15.2,15,5,9.2
266,2013,Bahia,Total,Privada,95.6,92.4,4,7,0.4,0.6
267,2013,Bahia,Total,Municipal,81,80.3,14.1,7.7,4.9,12
268,2013,Bahia,Total,Federal,96.2,73.5,3.8,23.5,0,3
269,2013,Bahia,Total,Estadual,72.7,75.7,21.9,15,5.4,9.3
270,2013,Bahia,Rural,Total,82.7,82.9,12.8,9.4,4.5,7.7
271,2013,Bahia,Rural,Pública,82.6,82.3,12.8,9.7,4.6,8
272,2013,Bahia,Rural,Privada,95.9,94.6,3.3,3.5,0.8,1.9
273,2013,Bahia,Rural,Municipal,82.6,81.9,12.8,7.2,4.6,10.9
274,2013,Bahia,Rural,Federal,--,80.3,--,16.7,--,3
275,2013,Bahia,Rural,Estadual,80.9,82.5,14.2,9.7,4.9,7.8
276,2013,Bahia,Urbana,Total,81.4,76.8,14.3,14.6,4.3,8.6
277,2013,Bahia,Urbana,Pública,78.4,75.4,16.4,15.3,5.2,9.3
278,2013,Bahia,Urbana,Privada,95.6,92.3,4,7.1,0.4,0.6
279,2013,Bahia,Urbana,Municipal,79.9,78.3,15,8.4,5.1,13.3
280,2013,Bahia,Urbana,Federal,96.2,72.3,3.8,24.8,0,2.9
281,2013,Bahia,Urbana,Estadual,72.4,75.5,22.2,15.2,5.4,9.3
282,2013,Minas Gerais,Total,Total,93.7,81.8,4.8,9.8,1.5,8.4
283,2013,Minas Gerais,Total,Pública,93.4,80.5,5,10.2,1.6,9.3
284,2013,Minas Gerais,Total,Privada,96.8,93.2,3.1,6.4,0.1,0.4
285,2013,Minas Gerais,Total,Municipal,93.8,80.8,5.2,12.6,1,6.6
286,2013,Minas Gerais,Total,Federal,93.8,86.5,6.2,12.3,0,1.2
287,2013,Minas Gerais,Total,Estadual,92.9,80.4,4.8,10.1,2.3,9.5
288,2013,Minas Gerais,Rural,Total,95.6,88.6,3.2,5.8,1.2,5.6
289,2013,Minas Gerais,Rural,Pública,95.6,88.4,3.2,5.9,1.2,5.7
290,2013,Minas Gerais,Rural,Privada,96.2,92.8,2.7,4.7,1.1,2.5
291,2013,Minas Gerais,Rural,Municipal,95.9,82.7,3.1,9.2,1,8.1
292,2013,Minas Gerais,Rural,Federal,--,84.4,--,14.3,--,1.3
293,2013,Minas Gerais,Rural,Estadual,94.4,89.7,3.6,3.6,2,6.7
294,2013,Minas Gerais,Urbana,Total,93.6,81.7,4.9,9.9,1.5,8.4
295,2013,Minas Gerais,Urbana,Pública,93.1,80.3,5.2,10.3,1.7,9.4
296,2013,Minas Gerais,Urbana,Privada,96.8,93.2,3.1,6.4,0.1,0.4
297,2013,Minas Gerais,Urbana,Municipal,93.5,80.6,5.5,12.9,1,6.5
298,2013,Minas Gerais,Urbana,Federal,93.8,87.1,6.2,11.7,0,1.2
299,2013,Minas Gerais,Urbana,Estadual,92.8,80.2,4.9,10.3,2.3,9.5
300,2013,Espírito Santo,Total,Total,87.9,77.8,10.8,15,1.3,7.2
301,2013,Espírito Santo,Total,Pública,86.6,75.3,11.9,16.4,1.5,8.3
302,2013,Espírito Santo,Total,Privada,97.1,93.9,2.8,5.6,0.1,0.5
303,2013,Espírito Santo,Total,Municipal,86.7,91.2,12.1,7.8,1.2,1
304,2013,Espírito Santo,Total,Federal,--,86.8,--,12.5,--,0.7
305,2013,Espírito Santo,Total,Estadual,86.5,74.7,11.4,16.6,2.1,8.7
306,2013,Espírito Santo,Rural,Total,90.8,85.1,8.3,10.1,0.9,4.8
307,2013,Espírito Santo,Rural,Pública,90.8,83.8,8.3,11.4,0.9,4.8
308,2013,Espírito Santo,Rural,Privada,88.6,90.4,8.6,5.4,2.8,4.2
309,2013,Espírito Santo,Rural,Municipal,90.5,91.2,8.6,7.8,0.9,1
310,2013,Espírito Santo,Rural,Federal,--,83,--,16.2,--,0.8
311,2013,Espírito Santo,Rural,Estadual,92.7,83.8,6.4,9.8,0.9,6.4
312,2013,Espírito Santo,Urbana,Total,87.5,77.5,11.1,15.1,1.4,7.4
313,2013,Espírito Santo,Urbana,Pública,86.1,75,12.4,16.6,1.5,8.4
314,2013,Espírito Santo,Urbana,Privada,97.1,94.1,2.8,5.7,0.1,0.2
315,2013,Espírito Santo,Urbana,Municipal,86.1,--,12.6,--,1.3,--
316,2013,Espírito Santo,Urbana,Federal,--,87.6,--,11.8,--,0.6
317,2013,Espírito Santo,Urbana,Estadual,86,74.4,11.7,16.8,2.3,8.8
318,2013,Rio de Janeiro,Total,Total,87.3,81.6,11.2,12.7,1.5,5.7
319,2013,Rio de Janeiro,Total,Pública,84.6,79.3,13.3,13.6,2.1,7.1
320,2013,Rio de Janeiro,Total,Privada,94.3,89.8,5.4,9.4,0.3,0.8
321,2013,Rio de Janeiro,Total,Municipal,85,78.8,13.2,15.6,1.8,5.6
322,2013,Rio de Janeiro,Total,Federal,91.4,87,8.5,10.8,0.1,2.2
323,2013,Rio de Janeiro,Total,Estadual,82.5,79,13.9,13.7,3.6,7.3
324,2013,Rio de Janeiro,Rural,Total,85,87.3,13.5,7.9,1.5,4.8
325,2013,Rio de Janeiro,Rural,Pública,84.5,87.1,14,7.9,1.5,5
326,2013,Rio de Janeiro,Rural,Privada,94.9,91.7,4.7,8.3,0.4,0
327,2013,Rio de Janeiro,Rural,Municipal,84.5,68.8,14.1,22.9,1.4,8.3
328,2013,Rio de Janeiro,Rural,Federal,--,90.2,--,7.1,--,2.7
329,2013,Rio de Janeiro,Rural,Estadual,84.5,87.1,12.9,7.9,2.6,5
330,2013,Rio de Janeiro,Urbana,Total,87.4,81.5,11,12.8,1.6,5.7
331,2013,Rio de Janeiro,Urbana,Pública,84.6,79.1,13.3,13.7,2.1,7.2
332,2013,Rio de Janeiro,Urbana,Privada,94.3,89.8,5.5,9.4,0.2,0.8
333,2013,Rio de Janeiro,Urbana,Municipal,85,78.9,13.2,15.5,1.8,5.6
334,2013,Rio de Janeiro,Urbana,Federal,91.4,86.9,8.5,10.8,0.1,2.3
335,2013,Rio de Janeiro,Urbana,Estadual,82.4,78.8,14,13.8,3.6,7.4
336,2013,São Paulo,Total,Total,95.2,83.7,3.9,11.6,0.9,4.7
337,2013,São Paulo,Total,Pública,94.6,81.6,4.3,12.8,1.1,5.6
